episode,return,length,epsilon,learning_rate,val_return
1,-327.93373863286223,72,0.995,0.001,
2,-155.48927248761288,83,0.990025,0.001,
3,-240.44440978832577,91,0.985074875,0.001,
4,-179.21718016542826,59,0.9801495006250001,0.001,
5,-438.0477655315813,103,0.9752487531218751,0.001,
6,-197.9815854316118,93,0.9703725093562657,0.001,
7,-341.91007690742936,95,0.9655206468094844,0.001,
8,-149.62977106661856,126,0.960693043575437,0.001,
9,-115.80676061677084,87,0.9558895783575597,0.001,
10,-219.98477505809595,151,0.9511101304657719,0.001,
11,-92.41165070333082,72,0.946354579813443,0.001,
12,-80.10196236847825,70,0.9416228069143757,0.001,
13,-96.92995174678778,77,0.9369146928798039,0.001,
14,-112.01914473942169,130,0.9322301194154049,0.001,
15,-86.31725229563051,70,0.9275689688183278,0.001,
16,-152.46662200479352,71,0.9229311239742362,0.001,
17,-266.75337828588107,105,0.918316468354365,0.001,
18,-234.3065934403757,103,0.9137248860125932,0.001,
19,-118.81580781804391,87,0.9091562615825302,0.001,
20,-75.59428963860984,78,0.9046104802746175,0.001,-306.90756304869365
21,-92.3455321263488,107,0.9000874278732445,0.001,
22,-165.23986671017906,68,0.8955869907338783,0.001,
23,-321.2513688055551,111,0.8911090557802088,0.001,
24,-31.376299327069475,113,0.8866535105013078,0.001,
25,-80.42104171661661,76,0.8822202429488013,0.001,
26,-258.6560484082268,120,0.8778091417340573,0.001,
27,-95.27779767845124,83,0.8734200960253871,0.001,
28,-89.92518011645173,83,0.8690529955452602,0.001,
29,-6.381889428747016,82,0.8647077305675338,0.001,
30,-48.97112187425926,122,0.8603841919146962,0.001,
31,-90.40476681082104,124,0.8560822709551227,0.001,
32,-49.500069955319105,120,0.851801859600347,0.001,
33,-64.01990164994604,72,0.8475428503023453,0.001,
34,-213.46531028563285,121,0.8433051360508336,0.001,
35,-144.47291511839956,95,0.8390886103705794,0.001,
36,-220.41006220424418,111,0.8348931673187264,0.001,
37,-8.8092132189431,130,0.8307187014821328,0.001,
38,-108.51677409400955,103,0.8265651079747222,0.001,
39,-100.87935175608744,89,0.8224322824348486,0.001,
40,-76.8065182087191,109,0.8183201210226743,0.001,-218.97563117775834
41,-85.13565856669021,117,0.8142285204175609,0.001,
42,-108.07522724701099,87,0.810157377815473,0.001,
43,-112.92186432427566,74,0.8061065909263957,0.001,
44,-76.30348726714018,103,0.8020760579717637,0.001,
45,-62.44359436447692,70,0.798065677681905,0.001,
46,-68.93024754323122,113,0.7940753492934954,0.001,
47,-99.2760457058536,86,0.7901049725470279,0.001,
48,-119.53256026543448,104,0.7861544476842928,0.001,
49,-105.90810074132318,122,0.7822236754458713,0.001,
50,-41.208649025116266,144,0.778312557068642,0.001,
51,-96.43645956837203,128,0.7744209942832988,0.001,
52,-131.1886407980392,107,0.7705488893118823,0.001,
53,-102.54410073528555,84,0.7666961448653229,0.001,
54,-121.0142320772425,77,0.7628626641409962,0.001,
55,-75.75637164505399,78,0.7590483508202912,0.001,
56,-119.01428507409233,125,0.7552531090661897,0.001,
57,-69.10259834279529,119,0.7514768435208588,0.001,
58,-130.14132403358155,112,0.7477194593032545,0.001,
59,-53.126795872906484,165,0.7439808620067382,0.001,
60,-50.587058350474386,122,0.7402609576967045,0.001,-154.76411637087517
61,-53.71112260049495,83,0.736559652908221,0.001,
62,-86.06009178082206,111,0.7328768546436799,0.001,
63,-106.97732739020154,104,0.7292124703704616,0.001,
64,-256.07614848249193,121,0.7255664080186093,0.001,
65,-115.37495764482222,95,0.7219385759785162,0.001,
66,-97.50900700993375,99,0.7183288830986236,0.001,
67,-76.97536765314194,120,0.7147372386831305,0.001,
68,-85.89517009408004,90,0.7111635524897149,0.001,
69,-85.32723588121412,108,0.7076077347272662,0.001,
70,-104.66013719419556,127,0.7040696960536299,0.001,
71,-69.29383750505433,66,0.7005493475733617,0.001,
72,-106.81474768454531,147,0.697046600835495,0.001,
73,6.220127516228686,174,0.6935613678313175,0.001,
74,-143.37230105787432,81,0.6900935609921609,0.001,
75,-65.24095509836694,136,0.6866430931872001,0.001,
76,-4.297917850807238,132,0.6832098777212641,0.001,
77,-26.969897741651764,129,0.6797938283326578,0.001,
78,-79.80102603628764,130,0.6763948591909945,0.001,
79,-89.52987068483259,71,0.6730128848950395,0.001,
80,-31.20945972620494,110,0.6696478204705644,0.001,-160.53537791472962
81,-22.298965976821776,92,0.6662995813682115,0.001,
82,-46.77819754093606,86,0.6629680834613705,0.001,
83,-52.613615088256765,87,0.6596532430440636,0.001,
84,-82.28364777657792,130,0.6563549768288433,0.001,
85,-11.51946742369114,107,0.653073201944699,0.001,
86,-73.55662155811737,68,0.6498078359349755,0.001,
87,-4.554840302040631,139,0.6465587967553006,0.001,
88,23.214651534372067,98,0.6433260027715241,0.001,
89,-43.745461986186804,93,0.6401093727576664,0.001,
90,-76.31688589971387,169,0.6369088258938781,0.001,
91,-51.0588994624262,116,0.6337242817644086,0.001,
92,-62.445821979291175,122,0.6305556603555866,0.001,
93,-103.82116108518525,135,0.6274028820538087,0.001,
94,-121.73475365897278,152,0.6242658676435396,0.001,
95,-32.62583604456948,78,0.6211445383053219,0.001,
96,-48.64536934507586,155,0.6180388156137953,0.001,
97,-86.25385591735163,707,0.6149486215357263,0.001,
98,-68.88373104982506,80,0.6118738784280476,0.001,
99,-76.65565579167829,115,0.6088145090359074,0.001,
100,-30.47272650555928,197,0.6057704364907278,0.001,-145.9726040006664
101,-48.05609814084231,127,0.6027415843082742,0.001,
102,-106.94000098059479,128,0.5997278763867329,0.001,
103,-9.473519443670654,147,0.5967292370047992,0.001,
104,-103.7037701432205,180,0.5937455908197752,0.001,
105,5.537650844658415,106,0.5907768628656763,0.001,
106,-256.24997499219137,151,0.5878229785513479,0.001,
107,-33.58824251099182,99,0.5848838636585911,0.001,
108,-14.36735614519668,123,0.5819594443402982,0.001,
109,-5.246585142688048,172,0.5790496471185967,0.001,
110,-98.67284956928388,114,0.5761543988830038,0.001,
111,-110.85385415299045,126,0.5732736268885887,0.001,
112,-65.33746701160183,111,0.5704072587541458,0.001,
113,-56.14202803544978,77,0.567555222460375,0.001,
114,-23.94662416066261,124,0.5647174463480732,0.001,
115,-13.034314052471757,87,0.5618938591163328,0.001,
116,-0.9513999332009604,96,0.5590843898207511,0.001,
117,-80.78177093131185,212,0.5562889678716474,0.001,
118,-130.19853133890845,201,0.5535075230322891,0.001,
119,-19.952904084796856,77,0.5507399854171277,0.001,
120,-35.15168367041423,85,0.547986285490042,0.001,-175.27889930845333
121,-7.799857861824734,252,0.5452463540625918,0.001,
122,-47.51320305047568,63,0.5425201222922789,0.001,
123,-22.984145150526246,130,0.5398075216808175,0.001,
124,-54.056983634306064,169,0.5371084840724134,0.001,
125,-18.46240533806298,161,0.5344229416520513,0.001,
126,-99.27786803290043,207,0.531750826943791,0.001,
127,-56.4066305763814,247,0.5290920728090721,0.001,
128,1.3835253612155327,177,0.5264466124450268,0.001,
129,-49.2454065623382,117,0.5238143793828016,0.001,
130,-107.57776852618318,186,0.5211953074858876,0.001,
131,-55.22911712419793,139,0.5185893309484582,0.001,
132,-9.612734633535908,221,0.5159963842937159,0.001,
133,16.96885009565736,129,0.5134164023722473,0.001,
134,21.052737542169112,112,0.510849320360386,0.001,
135,23.982978750098752,147,0.5082950737585841,0.001,
136,-389.25194155788284,691,0.5057535983897912,0.001,
137,-69.92202999362284,200,0.5032248303978422,0.001,
138,-92.59263978849984,113,0.500708706245853,0.001,
139,6.168639368313109,159,0.4982051627146237,0.001,
140,-297.38238274361663,429,0.49571413690105054,0.001,-209.229416847258
141,85.81804134087507,1000,0.4932355662165453,0.001,
142,-32.742666989432024,160,0.4907693883854626,0.001,
143,24.68291312118808,134,0.4883155414435353,0.001,
144,-15.642030906576238,153,0.4858739637363176,0.001,
145,-50.64285266884478,116,0.483444593917636,0.001,
146,-294.0137735888335,769,0.4810273709480478,0.001,
