episode,return,length,epsilon,learning_rate,val_return
1,-442.9068260790031,79,0.995,0.001,
2,-530.9356605775583,105,0.990025,0.001,
3,-464.91566919785635,103,0.985074875,0.001,
4,-586.625818582488,99,0.9801495006250001,0.001,
5,-211.09867287987737,79,0.9752487531218751,0.001,
6,-199.07616113374047,78,0.9703725093562657,0.001,
7,-445.3788392264682,98,0.9655206468094844,0.001,
8,-242.74296010269467,57,0.960693043575437,0.001,
9,-317.97772464157407,132,0.9558895783575597,0.001,
10,-172.66600763802745,103,0.9511101304657719,0.001,
11,-148.5404269844763,114,0.946354579813443,0.001,
12,-314.5111947672222,63,0.9416228069143757,0.001,
13,-194.96203183938186,86,0.9369146928798039,0.001,
14,-396.36864698270256,74,0.9322301194154049,0.001,
15,-205.14030867732075,79,0.9275689688183278,0.001,
16,-215.16468284749348,123,0.9229311239742362,0.001,
17,-218.01054213496838,113,0.918316468354365,0.001,
18,-290.341125451142,77,0.9137248860125932,0.001,
19,-302.51345858563263,93,0.9091562615825302,0.001,
20,-214.41481413228132,122,0.9046104802746175,0.001,-512.2269595925445
21,-284.7873804522685,84,0.9000874278732445,0.001,
22,-411.9012610027039,135,0.8955869907338783,0.001,
23,-537.4834654998124,154,0.8911090557802088,0.001,
24,-164.22661499461398,83,0.8866535105013078,0.001,
25,-137.0626317353931,94,0.8822202429488013,0.001,
26,-237.80318263882552,100,0.8778091417340573,0.001,
27,-189.68168577293937,118,0.8734200960253871,0.001,
28,-103.8837902518675,83,0.8690529955452602,0.001,
29,-235.74370747359646,139,0.8647077305675338,0.001,
30,-185.45612268992872,122,0.8603841919146962,0.001,
31,-200.22202989267902,100,0.8560822709551227,0.001,
32,-452.4609310209302,108,0.851801859600347,0.001,
33,-203.47195954108372,59,0.8475428503023453,0.001,
34,-164.42221211285477,76,0.8433051360508336,0.001,
35,-284.26062598357566,116,0.8390886103705794,0.001,
36,-169.46302773787042,94,0.8348931673187264,0.001,
37,-247.13084680169933,100,0.8307187014821328,0.001,
38,-199.11698494075947,90,0.8265651079747222,0.001,
39,-200.61016288851638,102,0.8224322824348486,0.001,
