episode,return,length,epsilon,learning_rate,val_return
1,-316.6123165538071,99,0.995,0.001,
2,-323.0987024755116,91,0.990025,0.001,
3,-250.0126241281385,115,0.985074875,0.001,
4,-136.28294557625367,72,0.9801495006250001,0.001,
5,-311.31928452971016,89,0.9752487531218751,0.001,
6,-130.4450188799351,80,0.9703725093562657,0.001,
7,-107.23570979632179,97,0.9655206468094844,0.001,
8,-232.06721714305934,96,0.960693043575437,0.001,
9,-137.04022237728003,59,0.9558895783575597,0.001,
10,-80.04252074080648,99,0.9511101304657719,0.001,
11,-103.72734389004992,79,0.946354579813443,0.001,
12,-205.2867372509263,137,0.9416228069143757,0.001,
13,-44.31877050726975,67,0.9369146928798039,0.001,
14,-259.7212881882416,90,0.9322301194154049,0.001,
15,-101.32316012854916,68,0.9275689688183278,0.001,
16,-152.7808768951088,95,0.9229311239742362,0.001,
17,-236.94505304677674,116,0.918316468354365,0.001,
18,-76.57374799994037,75,0.9137248860125932,0.001,
19,-184.71210711284994,89,0.9091562615825302,0.001,
20,-328.1673641564907,104,0.9046104802746175,0.001,-318.57153188467936
21,-104.92774364626734,69,0.9000874278732445,0.001,
22,-62.955365555018545,71,0.8955869907338783,0.001,
23,-348.8141136008296,125,0.8911090557802088,0.001,
24,-114.94518598590643,75,0.8866535105013078,0.001,
25,-89.60829580860346,139,0.8822202429488013,0.001,
26,-169.59339630811925,91,0.8778091417340573,0.001,
27,-100.88975779581284,81,0.8734200960253871,0.001,
28,-109.79030941038407,129,0.8690529955452602,0.001,
29,-70.19413022317188,85,0.8647077305675338,0.001,
30,-213.546081010664,131,0.8603841919146962,0.001,
31,-89.53996524332504,86,0.8560822709551227,0.001,
32,-226.72053257278475,100,0.851801859600347,0.001,
33,-127.82320637914752,131,0.8475428503023453,0.001,
34,-96.08703880956551,107,0.8433051360508336,0.001,
35,-258.8700266757152,127,0.8390886103705794,0.001,
36,-72.3852095502654,64,0.8348931673187264,0.001,
37,-83.35725573320462,117,0.8307187014821328,0.001,
38,-148.2547692055112,111,0.8265651079747222,0.001,
39,-230.62579675956604,95,0.8224322824348486,0.001,
40,-87.91349622779843,86,0.8183201210226743,0.001,-418.6190431527789
41,-61.80331681374932,85,0.8142285204175609,0.001,
42,-160.94704591458554,96,0.810157377815473,0.001,
43,-73.09050491759707,83,0.8061065909263957,0.001,
44,-88.0372612677102,138,0.8020760579717637,0.001,
45,-235.23377366804849,107,0.798065677681905,0.001,
46,-157.80594764548115,101,0.7940753492934954,0.001,
47,-100.70921311378592,91,0.7901049725470279,0.001,
48,-97.64961238049985,115,0.7861544476842928,0.001,
49,-262.05821194006273,117,0.7822236754458713,0.001,
50,-78.42807366998592,63,0.778312557068642,0.001,
51,-56.86677768583681,74,0.7744209942832988,0.001,
52,-99.265477886683,121,0.7705488893118823,0.001,
53,-88.9707877320981,114,0.7666961448653229,0.001,
54,-54.46440253047196,72,0.7628626641409962,0.001,
55,-12.520842066353723,81,0.7590483508202912,0.001,
56,-119.51894939734319,102,0.7552531090661897,0.001,
57,-213.75812784699275,144,0.7514768435208588,0.001,
58,-225.06891172652576,115,0.7477194593032545,0.001,
59,-105.32720418177121,109,0.7439808620067382,0.001,
60,-271.2500868172862,132,0.7402609576967045,0.001,125.38264361471525
61,8.586377965309751,105,0.736559652908221,0.001,
62,-79.95449913695003,149,0.7328768546436799,0.001,
63,-167.33395437477208,108,0.7292124703704616,0.001,
64,-64.88976444786137,76,0.7255664080186093,0.001,
65,-70.83632091618074,64,0.7219385759785162,0.001,
66,-111.19581843230894,98,0.7183288830986236,0.001,
67,-150.34676642194637,112,0.7147372386831305,0.001,
68,-10.78346866167324,88,0.7111635524897149,0.001,
69,-17.83955652245865,141,0.7076077347272662,0.001,
70,-81.60730637869284,95,0.7040696960536299,0.001,
71,-95.55446580848033,95,0.7005493475733617,0.001,
72,-71.5072751560053,114,0.697046600835495,0.001,
73,5.92209595692357,180,0.6935613678313175,0.001,
