episode,return,length,epsilon,learning_rate,val_return
1,-432.03684144415666,104,0.995,0.001,
2,-276.92213723882736,94,0.990025,0.001,
3,-133.79416495282243,84,0.985074875,0.001,
4,-203.79233328269044,76,0.9801495006250001,0.001,
5,-321.4455631516198,68,0.9752487531218751,0.001,
6,-162.01324445862957,90,0.9703725093562657,0.001,
7,-256.90295618001574,109,0.9655206468094844,0.001,
8,-67.93605713140546,139,0.960693043575437,0.001,
9,-349.2487965350431,105,0.9558895783575597,0.001,
10,-98.89626827650412,117,0.9511101304657719,0.001,
11,-211.1868945775293,112,0.946354579813443,0.001,
12,-348.7924089179314,82,0.9416228069143757,0.001,
13,-112.91693889911652,88,0.9369146928798039,0.001,
14,-92.2822323502006,77,0.9322301194154049,0.001,
15,15.596457330012583,90,0.9275689688183278,0.001,
16,-106.172808429124,80,0.9229311239742362,0.001,
17,-164.38361819074592,64,0.918316468354365,0.001,
18,-256.087836115271,107,0.9137248860125932,0.001,
19,-110.5478896795627,81,0.9091562615825302,0.001,
20,-96.04099984307847,72,0.9046104802746175,0.001,-73.62015254510965
21,-62.79224866793192,66,0.9000874278732445,0.001,
22,-130.150113541614,62,0.8955869907338783,0.001,
23,-85.06071718910866,103,0.8911090557802088,0.001,
24,-137.23907550849327,109,0.8866535105013078,0.001,
25,-247.60039064288574,76,0.8822202429488013,0.001,
26,-20.0057203758862,82,0.8778091417340573,0.001,
27,-6.372140617676251,136,0.8734200960253871,0.001,
28,-209.20936383368456,119,0.8690529955452602,0.001,
29,-77.7069205951473,81,0.8647077305675338,0.001,
30,-350.3131343561087,132,0.8603841919146962,0.001,
31,-79.9044698950304,87,0.8560822709551227,0.001,
32,-351.94151615727867,143,0.851801859600347,0.001,
33,-87.61315996434149,68,0.8475428503023453,0.001,
34,-134.98507174290154,95,0.8433051360508336,0.001,
35,-24.920826312727982,75,0.8390886103705794,0.001,
36,-74.89667697230881,95,0.8348931673187264,0.001,
37,-147.8958764634968,141,0.8307187014821328,0.001,
38,-100.46744310528038,92,0.8265651079747222,0.001,
39,-52.94151107071697,138,0.8224322824348486,0.001,
40,-161.11569768115908,129,0.8183201210226743,0.001,-258.6692812681898
41,-114.02489491657124,103,0.8142285204175609,0.001,
42,-52.31353713669036,79,0.810157377815473,0.001,
43,-90.49661577041199,99,0.8061065909263957,0.001,
44,-127.51930128883242,140,0.8020760579717637,0.001,
45,-9.06270424888362,79,0.798065677681905,0.001,
46,-50.00290990281261,80,0.7940753492934954,0.001,
47,-105.83818816473142,89,0.7901049725470279,0.001,
48,-57.39493615495605,158,0.7861544476842928,0.001,
49,-57.2633045453444,71,0.7822236754458713,0.001,
50,-289.4673729157106,153,0.778312557068642,0.001,
51,-69.15482734183831,146,0.7744209942832988,0.001,
52,-69.4149738325681,97,0.7705488893118823,0.001,
53,-85.09592167702613,99,0.7666961448653229,0.001,
54,-142.43638833203667,139,0.7628626641409962,0.001,
55,-72.50611315349988,65,0.7590483508202912,0.001,
56,-73.06107005579831,109,0.7552531090661897,0.001,
57,-148.03755396281827,133,0.7514768435208588,0.001,
58,-77.17992271598703,159,0.7477194593032545,0.001,
59,-73.12322118644943,167,0.7439808620067382,0.001,
60,-24.807608595248368,78,0.7402609576967045,0.001,-417.4437412217958
61,-67.885186157995,176,0.736559652908221,0.001,
62,-110.55441358411696,120,0.7328768546436799,0.001,
63,-44.28683828069565,67,0.7292124703704616,0.001,
64,-122.59691838691204,135,0.7255664080186093,0.001,
65,-17.3522586502323,95,0.7219385759785162,0.001,
66,-68.11394237382866,69,0.7183288830986236,0.001,
67,-97.50831238030283,83,0.7147372386831305,0.001,
68,-65.7599460776537,93,0.7111635524897149,0.001,
69,-66.43637026083627,154,0.7076077347272662,0.001,
70,-68.88833361139127,90,0.7040696960536299,0.001,
71,-90.20587093895111,142,0.7005493475733617,0.001,
72,-45.82478664772373,119,0.697046600835495,0.001,
73,-89.8776259211537,97,0.6935613678313175,0.001,
74,-44.81962147981875,68,0.6900935609921609,0.001,
75,-116.65987077343922,141,0.6866430931872001,0.001,
76,-80.7736631007781,128,0.6832098777212641,0.001,
77,-23.2755720486752,125,0.6797938283326578,0.001,
78,-119.69555235295866,143,0.6763948591909945,0.001,
79,-102.23695831519458,121,0.6730128848950395,0.001,
80,-77.00979668007145,142,0.6696478204705644,0.001,-452.21585885819235
81,-109.02636870633575,175,0.6662995813682115,0.001,
82,-115.73877183894382,150,0.6629680834613705,0.001,
83,-1.1003346409234354,163,0.6596532430440636,0.001,
84,-67.071416528964,150,0.6563549768288433,0.001,
85,-56.622030630563884,102,0.653073201944699,0.001,
86,-72.76344221036345,125,0.6498078359349755,0.001,
87,-200.84737607657394,104,0.6465587967553006,0.001,
88,-57.69421908629664,98,0.6433260027715241,0.001,
89,25.74180143825606,201,0.6401093727576664,0.001,
90,-4.764095757886295,109,0.6369088258938781,0.001,
91,-68.91831476197845,85,0.6337242817644086,0.001,
92,-69.34627192013183,115,0.6305556603555866,0.001,
93,-73.14848824656382,81,0.6274028820538087,0.001,
94,-53.668949180267354,126,0.6242658676435396,0.001,
95,-88.33152536692602,131,0.6211445383053219,0.001,
96,-204.28860261657007,137,0.6180388156137953,0.001,
97,-55.66328732737143,198,0.6149486215357263,0.001,
98,-46.55009333149944,80,0.6118738784280476,0.001,
99,-51.067204014058404,172,0.6088145090359074,0.001,
100,-67.46913581210995,129,0.6057704364907278,0.001,-246.06404592150062
101,-32.38485520102071,83,0.6027415843082742,0.001,
102,42.93618547744211,100,0.5997278763867329,0.001,
103,-109.02668256991993,109,0.5967292370047992,0.001,
104,-68.36381732368099,95,0.5937455908197752,0.001,
105,-5.183128035612981,118,0.5907768628656763,0.001,
106,-34.83278551776519,72,0.5878229785513479,0.001,
107,-10.255281834719355,125,0.5848838636585911,0.001,
108,-160.9970985418176,117,0.5819594443402982,0.001,
109,-6.232320182707227,151,0.5790496471185967,0.001,
110,-89.23178848696185,124,0.5761543988830038,0.001,
111,-226.39770715644278,139,0.5732736268885887,0.001,
112,-199.36927511129028,111,0.5704072587541458,0.001,
113,-88.51843813602125,185,0.567555222460375,0.001,
114,-56.51780975706167,167,0.5647174463480732,0.001,
115,2.060056399825285,172,0.5618938591163328,0.001,
116,-37.2395962082316,127,0.5590843898207511,0.001,
117,-1.5672887643192723,158,0.5562889678716474,0.001,
118,-55.40682639739208,91,0.5535075230322891,0.001,
119,-127.56816388191027,90,0.5507399854171277,0.001,
120,-21.244012759715034,97,0.547986285490042,0.001,-161.4814107232899
121,-83.97996469461168,115,0.5452463540625918,0.001,
122,-64.38304516347378,98,0.5425201222922789,0.001,
123,-35.94546637299135,102,0.5398075216808175,0.001,
124,-87.39933144111475,113,0.5371084840724134,0.001,
125,-79.65658253670279,104,0.5344229416520513,0.001,
126,-87.49680087447129,122,0.531750826943791,0.001,
127,-0.46783007775808017,110,0.5290920728090721,0.001,
128,-59.17992288812632,106,0.5264466124450268,0.001,
129,-81.23375624951221,129,0.5238143793828016,0.001,
130,0.5714158479011502,114,0.5211953074858876,0.001,
131,-46.63977271088632,97,0.5185893309484582,0.001,
132,6.420449742853293,110,0.5159963842937159,0.001,
133,-39.26932102202927,112,0.5134164023722473,0.001,
