episode,return,length,epsilon,learning_rate,val_return
1,-193.3362146378622,68,,,
2,-400.8354730494241,153,,,
3,-409.9841094336957,107,,,
4,-382.04720797196615,93,,,
5,-194.85481720158504,84,,,
6,-241.56180501052881,108,,,
7,-175.6302237954485,85,,,
8,-336.4595399086709,64,,,
9,-254.08183147298473,119,,,
10,-384.9149076169635,108,,,
11,-361.7027201719714,125,,,
12,-182.10486511704113,64,,,
13,-329.04620898490435,91,,,
14,-95.25046260674151,87,,,
15,-260.0204268284106,108,,,
16,-208.24159792151679,77,,,
17,-175.32627690727594,76,,,
18,-427.9486302697295,89,,,
19,-349.67360385335587,92,,,
20,-202.7884927866269,78,,,
21,-346.04044153725386,106,,,
22,-434.09789435734274,91,,,
23,-349.423577269886,104,,,
24,-224.84557346156458,105,,,
25,-228.1461463167775,80,,,
26,-364.8845208112008,113,,,
27,-469.9147168678478,119,,,
28,-188.74790758272377,72,,,
29,-380.6892694923582,101,,,
30,-271.64463360629543,88,,,-264.3488343401058
31,-414.8236546092886,98,,,
32,-204.30402224988356,92,,,
33,-291.0483267618731,122,,,
34,-185.1746253522254,120,,,
35,-273.18731267465097,104,,,
36,-303.11789582359756,69,,,
37,-168.9225996428981,66,,,
38,-214.67141719717532,104,,,
39,-335.05943825947827,76,,,
40,-206.55216045601617,84,,,
41,-262.20232702775195,126,,,
42,-223.07405811816818,95,,,
43,-199.97748291607945,89,,,
44,-320.71728659989674,66,,,
45,-225.03555443283324,80,,,
46,-178.16373116959085,98,,,
47,-325.7519953924822,79,,,
48,-217.1743382489583,72,,,
49,-178.19601094868545,86,,,
50,-206.85254532308656,61,,,
51,-328.1804832136245,105,,,
52,-217.8113239609278,121,,,
53,-369.6550267031532,95,,,
54,-180.65548956873084,130,,,
55,-299.1423725449951,110,,,
56,-266.4465853525269,111,,,
57,-244.9551134965492,99,,,
58,-208.13610764938556,63,,,
59,-178.3664053080729,71,,,
60,-409.4819681001543,99,,,-257.53875091792327
61,-475.6017051203577,117,,,
62,-293.4535267407427,77,,,
63,-295.7326215162617,136,,,
64,-178.09237057954857,60,,,
65,-262.60295379729376,70,,,
66,-214.05541622110493,68,,,
67,-262.28859519858446,101,,,
68,-233.6962619834298,110,,,
69,-332.54714499300036,119,,,
70,-300.67536032600196,118,,,
71,-417.270046485313,107,,,
72,-341.05460259728886,83,,,
73,-336.33399972595544,88,,,
74,-217.8051136865989,90,,,
75,-295.4269262875373,124,,,
76,-219.34861693896457,69,,,
77,-318.4067937300149,132,,,
78,-179.0463358453866,72,,,
79,-467.4093741976695,105,,,
80,-190.12660092128408,66,,,
