episode,return,length,epsilon,learning_rate,val_return
1,-319.6234027913538,102,,,
2,-326.93758669773126,76,,,
3,-205.50150047347375,78,,,
4,-242.1289855078796,123,,,
5,-473.0443657057731,93,,,
6,-427.92374157036693,94,,,
7,-229.11934075742172,130,,,
8,-248.96505899260274,91,,,
9,-285.691559317035,110,,,
10,-480.09308846161946,100,,,
11,-250.64959890694024,60,,,
12,-218.24040332098326,124,,,
13,-322.22551430741396,137,,,
14,-234.3174712884221,97,,,
15,-230.9106414583325,98,,,
16,-233.5518863922831,103,,,
17,-281.83449017126577,107,,,
18,-232.3358832865258,118,,,
19,-397.87704414834724,92,,,
20,-178.3051401171377,68,,,
21,-364.8037166064821,133,,,
22,-211.23991979423957,61,,,
23,-482.41336308089524,118,,,
24,-154.54154400251846,75,,,
25,-197.9070053434518,137,,,
26,-167.34743589122638,95,,,
27,-373.69919660065887,94,,,
28,-266.14383222440637,87,,,
29,-202.28681202177293,95,,,
30,-171.37874712952043,103,,,-892.0462870454318
31,-305.04881939713414,113,,,
32,-218.5006425011558,116,,,
33,-319.3939110362701,155,,,
34,-449.76278779805614,79,,,
35,-238.78193752673124,149,,,
36,-382.2077657637232,109,,,
37,-182.11929223359664,86,,,
38,-391.9051594653827,102,,,
39,-187.22100116234841,82,,,
40,-329.23850046339794,117,,,
41,-299.87734647132805,119,,,
42,-213.55819924874274,127,,,
43,-448.7634311513717,116,,,
44,-224.623513427538,88,,,
45,-400.3954232383634,87,,,
46,-186.92831369573742,67,,,
47,-279.4899429988883,128,,,
48,-395.2674455503251,98,,,
49,-305.6280954927209,110,,,
50,-425.28127979194767,88,,,
51,-468.94759962543577,127,,,
52,-199.86385568283967,134,,,
53,-343.6638923330727,100,,,
54,-173.58753614396696,110,,,
55,-245.482265193904,130,,,
56,-367.4920592407885,200,,,
57,-509.7501529498522,95,,,
58,-193.2190039155335,108,,,
59,-316.64841566422285,84,,,
60,-410.3369014030749,95,,,-892.0462870454318
61,-182.5855652399409,90,,,
62,-458.7977070783019,99,,,
63,-423.4956469213578,125,,,
64,-300.10680421470795,85,,,
65,-284.2176943214673,73,,,
66,-381.6554696210982,113,,,
67,-457.252106033302,89,,,
68,-284.0858160917694,141,,,
69,-454.7776078975267,163,,,
70,-455.2113280964099,83,,,
71,-247.73508503425685,152,,,
72,-457.0097655443867,80,,,
73,-295.2410437645115,112,,,
74,-467.76959840131985,93,,,
75,-341.1941205738354,112,,,
76,-350.04214672396415,117,,,
77,-172.829081412502,88,,,
78,-438.184615277332,131,,,
79,-335.2866242246794,96,,,
80,-190.48135549023135,67,,,
81,-218.1328390640688,79,,,
82,-276.586798405743,73,,,
83,-279.65379751284644,91,,,
84,-269.28418581616575,133,,,
85,-241.41270986412005,120,,,
86,-259.3773236786724,85,,,
87,-339.586824336587,96,,,
88,-313.85717852015574,113,,,
89,-309.574596776961,115,,,
90,-304.4785871624697,111,,,-892.0462870454318
91,-297.7359891194932,92,,,
92,-184.13783169178868,87,,,
93,-265.2457897476813,125,,,
94,-376.3508432419444,89,,,
95,-139.14247856085248,80,,,
96,-184.01319200147714,82,,,
97,-212.14707015839096,71,,,
98,-269.7496158246057,69,,,
99,-267.79178912416546,98,,,
100,-196.28018618760134,84,,,
101,-216.7392490646968,108,,,
102,-129.08758895583492,1000,,,
103,-298.1983650404254,77,,,
104,-385.3351732972891,100,,,
105,-160.5295693704259,86,,,
106,-415.3413015924052,98,,,
107,-532.4735637531475,122,,,
108,-370.50396973055507,103,,,
109,-231.7037906157196,133,,,
110,-418.5703724754523,76,,,
111,-323.9764439434058,114,,,
112,-460.7750918734846,82,,,
113,-203.76623017679435,106,,,
114,-516.5846868760765,150,,,
115,-449.31705035510095,153,,,
116,-533.0046674146754,88,,,
117,-327.18101822827947,96,,,
118,-499.9404059259576,146,,,
119,-476.7196201322062,127,,,
120,-414.98658978735807,190,,,-892.0462870454318
121,-159.55214772137032,78,,,
122,-393.6363208856484,112,,,
123,-193.28107850142723,104,,,
124,-579.3465891958388,104,,,
125,-347.1370688997441,88,,,
126,-590.491628117295,218,,,
127,-458.2234030388875,93,,,
128,-152.5402279765069,80,,,
129,-332.373214479479,110,,,
130,-509.35365046135627,125,,,
131,-230.41594033625006,120,,,
132,-482.1614220299205,83,,,
133,-278.9960678926295,80,,,
134,-497.52980726762263,95,,,
135,-506.16846158849114,132,,,
136,-506.5884453743778,98,,,
137,-567.454779792954,108,,,
138,-444.98223437060017,130,,,
139,-318.4672055494913,74,,,
140,-429.6655749367386,122,,,
141,-305.1681811466186,89,,,
142,-272.1841721597668,142,,,
143,-344.3646610849994,155,,,
144,-152.27756905565832,91,,,
145,-486.24725244081833,145,,,
146,-405.798905406199,124,,,
147,-352.81929567195147,131,,,
148,-455.90571584763995,126,,,
149,-630.0166480007991,169,,,
150,-234.46063057194107,131,,,-892.0462870454318
151,-579.40320644896,155,,,
152,-141.8071072187925,107,,,
153,-423.1487496160412,155,,,
