episode,return,length,epsilon,learning_rate,val_return
1,-469.7457696342103,94,,,
2,-232.9867903719736,136,,,
3,-260.8585335106824,64,,,
4,-207.08234592452706,96,,,
5,-244.4926446114256,124,,,
6,-469.2431796651947,105,,,
7,-591.5160385180534,114,,,
8,-460.78260947140734,96,,,
9,-376.3846901037214,84,,,
10,-238.5357305753046,70,,,-267.5165932757602
11,-256.17136389144025,119,,,
12,-209.17023089354214,76,,,
13,-249.3281773959934,66,,,
14,-232.67021196542214,83,,,
15,-197.93427203347582,81,,,
16,-651.3837896989934,112,,,
17,-409.9435671094314,98,,,
18,-610.989699313054,96,,,
19,-330.0492291132121,90,,,
20,-414.8845890655261,95,,,-274.0757691618643
21,-234.62527978723097,94,,,
22,-488.1794997253925,91,,,
23,-220.3072462835208,85,,,
24,-278.44976199962787,64,,,
25,-384.6651285478664,108,,,
26,-430.1359100078683,101,,,
27,-522.336405953655,118,,,
28,-503.54321013508974,127,,,
29,-258.06021572598263,81,,,
30,-553.0933107405033,89,,,-273.83076337892555
31,-249.13566407874967,68,,,
32,-180.69648456994608,71,,,
33,-252.9791115827539,91,,,
34,-534.2329745035723,89,,,
35,-255.85760148679782,96,,,
36,-216.71860857445472,81,,,
37,-565.9732132259903,107,,,
38,-179.27105687660531,66,,,
39,-303.9514187540568,125,,,
40,-171.80488855272736,74,,,-269.7469720517671
41,-220.6795440133042,80,,,
42,-299.3984519997896,105,,,
43,-439.98770154640874,79,,,
44,-240.52064071259633,97,,,
45,-288.8400924946118,73,,,
46,-535.4374671701497,99,,,
47,-279.62299397513664,80,,,
48,-414.8537976548848,77,,,
49,-164.11035367319676,67,,,
50,-362.9571478294923,142,,,-280.17556536739403
51,-430.08356324280976,115,,,
52,-538.0833459447999,91,,,
53,-430.5168954685746,97,,,
54,-568.0505762063484,109,,,
55,-406.5224768787401,86,,,
56,-394.81670247093604,105,,,
57,-514.822933999644,118,,,
58,-287.71743729864124,144,,,
59,-489.4664532493049,138,,,
60,-592.6897949967622,115,,,-283.54714579499296
61,-218.45838588338685,82,,,
62,-442.5100680287993,77,,,
63,-204.23558723411705,76,,,
64,-268.73921999073275,102,,,
65,-214.9836732917344,77,,,
66,-521.2694715597415,90,,,
67,-358.79153834995554,88,,,
68,-609.6527070321645,110,,,
69,-337.549702669814,71,,,
70,-185.15062130118065,79,,,-277.3798281091762
71,-634.6548886045748,113,,,
72,-178.56099409447515,72,,,
73,-173.07425923378676,78,,,
74,-155.94440295711297,78,,,
75,-190.51625027144598,73,,,
76,-396.93387192464667,111,,,
77,-442.30040075876445,121,,,
78,-246.92290667874153,65,,,
79,-466.14463786927496,102,,,
80,-371.2404924748007,79,,,-292.6769316226499
81,-207.63418941098814,72,,,
82,-629.0692514241227,108,,,
83,-523.4624443499517,103,,,
84,-577.0766451944398,114,,,
85,-233.0204207276212,76,,,
86,-454.5277353173541,113,,,
87,-313.8820401573895,91,,,
88,-573.0514377200842,74,,,
89,-194.28928158107738,73,,,
90,-564.5508804182712,113,,,-282.93543385042005
91,-175.77245465435408,68,,,
92,-434.53832108027103,84,,,
93,-478.022472504522,82,,,
94,-598.0683261557218,97,,,
95,-245.94345545401518,82,,,
96,-424.4550420280849,65,,,
97,-265.01368443951,82,,,
98,-323.5061412868651,55,,,
99,-246.04987863974645,59,,,
100,-867.73000711835,117,,,-353.2852652376436
101,-411.60456639464144,73,,,
102,-330.7573462038133,85,,,
103,-209.77069638939443,61,,,
104,-404.411377632076,103,,,
105,-439.8218346984849,121,,,
106,-514.7758095868077,114,,,
107,-420.0184287802348,116,,,
108,-409.70850028443397,90,,,
109,-460.2658875419208,114,,,
110,-704.0604034656701,96,,,-361.17576176688715
111,-596.7947910865748,113,,,
112,-570.2788864009078,115,,,
