episode,return,length,epsilon,learning_rate,val_return
1,-228.44953535026818,125,0.995,0.001,
2,-249.14200961955083,93,0.990025,0.001,
3,-487.0280837842538,95,0.985074875,0.001,
4,-134.12381207641656,72,0.9801495006250001,0.001,
5,-399.4935044438789,123,0.9752487531218751,0.001,
6,-107.7023733945132,79,0.9703725093562657,0.001,
7,-269.10552298750963,118,0.9655206468094844,0.001,
8,-561.3232463231543,145,0.960693043575437,0.001,
9,-427.6839667634936,108,0.9558895783575597,0.001,
10,-378.4912708598833,122,0.9511101304657719,0.001,-263.6552571971627
11,-249.34563082397278,118,0.946354579813443,0.001,
12,-462.8243271646147,98,0.9416228069143757,0.001,
13,-261.57705194175514,111,0.9369146928798039,0.001,
14,-271.41135809608096,127,0.9322301194154049,0.001,
15,-305.01307140116495,65,0.9275689688183278,0.001,
16,-330.51179195774756,123,0.9229311239742362,0.001,
17,-445.1883212934149,104,0.918316468354365,0.001,
18,-250.39029932648634,91,0.9137248860125932,0.001,
19,-382.8590279536545,129,0.9091562615825302,0.001,
20,-226.42340288566868,121,0.9046104802746175,0.001,-349.72159187731637
21,-83.40804486921814,85,0.9000874278732445,0.001,
22,-403.70204133794675,86,0.8955869907338783,0.001,
23,-157.56176412674674,68,0.8911090557802088,0.001,
24,-211.53621685783307,80,0.8866535105013078,0.001,
25,-245.53160403952435,103,0.8822202429488013,0.001,
26,-209.34063546123704,108,0.8778091417340573,0.001,
27,-149.8532271428258,118,0.8734200960253871,0.001,
28,-310.0745906980584,109,0.8690529955452602,0.001,
29,-244.52851099030335,85,0.8647077305675338,0.001,
30,-160.2475650620247,73,0.8603841919146962,0.001,-233.874384906412
31,-244.52192802747717,88,0.8560822709551227,0.001,
32,-208.23860328623917,95,0.851801859600347,0.001,
33,-200.196996966222,84,0.8475428503023453,0.001,
34,-303.3978715159965,111,0.8433051360508336,0.001,
35,-329.7158413450291,128,0.8390886103705794,0.001,
36,-89.73258004081596,69,0.8348931673187264,0.001,
37,-251.69693983189356,92,0.8307187014821328,0.001,
38,-210.86251806389444,59,0.8265651079747222,0.001,
39,-193.90818193327496,117,0.8224322824348486,0.001,
40,-169.92725138314736,148,0.8183201210226743,0.001,-365.5419950926342
41,-368.79567527788834,145,0.8142285204175609,0.001,
42,-186.84510023882314,87,0.810157377815473,0.001,
43,-221.57466988870462,71,0.8061065909263957,0.001,
44,-160.58639258934375,76,0.8020760579717637,0.001,
45,-374.1699546088155,96,0.798065677681905,0.001,
46,-578.6881286138323,136,0.7940753492934954,0.001,
47,-310.06719334370337,112,0.7901049725470279,0.001,
48,-126.18825401732886,130,0.7861544476842928,0.001,
49,-225.44679173723978,122,0.7822236754458713,0.001,
50,-209.0430920719141,116,0.778312557068642,0.001,-304.85730993202475
51,-205.00822829055213,90,0.7744209942832988,0.001,
52,-117.60760579868796,118,0.7705488893118823,0.001,
53,-145.97929803147488,94,0.7666961448653229,0.001,
54,-242.6691016965868,118,0.7628626641409962,0.001,
55,-197.04650234507466,83,0.7590483508202912,0.001,
56,-183.2957164362769,86,0.7552531090661897,0.001,
57,-317.20718463537116,117,0.7514768435208588,0.001,
58,-189.00064699636096,70,0.7477194593032545,0.001,
59,-239.57543906112403,111,0.7439808620067382,0.001,
60,-266.03818099446636,118,0.7402609576967045,0.001,-272.42941296690316
61,-171.45451992004573,141,0.736559652908221,0.001,
62,-242.56309757621722,117,0.7328768546436799,0.001,
63,-165.66135450600254,90,0.7292124703704616,0.001,
64,-209.01853132440837,78,0.7255664080186093,0.001,
65,-218.87607487928884,94,0.7219385759785162,0.001,
66,-202.91691130133853,85,0.7183288830986236,0.001,
67,-221.96250550975896,99,0.7147372386831305,0.001,
68,-258.4833171256952,81,0.7111635524897149,0.001,
69,-182.1766132519943,80,0.7076077347272662,0.001,
70,-233.0051369384284,117,0.7040696960536299,0.001,-326.0370844576116
71,-286.166031729946,132,0.7005493475733617,0.001,
72,-218.25871411580331,93,0.697046600835495,0.001,
73,-201.99367269713957,95,0.6935613678313175,0.001,
74,-177.58017058918497,116,0.6900935609921609,0.001,
75,-256.24745782099626,100,0.6866430931872001,0.001,
76,-146.5177724004838,95,0.6832098777212641,0.001,
77,-248.73097666915584,85,0.6797938283326578,0.001,
78,-166.1324335394995,144,0.6763948591909945,0.001,
79,-153.50031451877504,72,0.6730128848950395,0.001,
80,-220.0423086083028,120,0.6696478204705644,0.001,-263.31099609802965
81,-277.83324611870523,132,0.6662995813682115,0.001,
82,-196.29210037863444,101,0.6629680834613705,0.001,
83,-224.911963492622,101,0.6596532430440636,0.001,
84,-221.58662112235453,108,0.6563549768288433,0.001,
85,-185.74400909275917,109,0.653073201944699,0.001,
86,-189.0278804428152,141,0.6498078359349755,0.001,
87,-207.84288030685414,110,0.6465587967553006,0.001,
88,-174.23627992983447,121,0.6433260027715241,0.001,
89,-164.9654017141551,145,0.6401093727576664,0.001,
90,-314.7258871637976,155,0.6369088258938781,0.001,-292.7952380952045
91,-157.1720596276831,116,0.6337242817644086,0.001,
92,-324.81332595482564,146,0.6305556603555866,0.001,
93,-415.7264152644139,128,0.6274028820538087,0.001,
94,-197.33950964637447,75,0.6242658676435396,0.001,
95,-262.6506328178227,141,0.6211445383053219,0.001,
96,-153.83914906967135,199,0.6180388156137953,0.001,
97,-233.96899706379924,112,0.6149486215357263,0.001,
98,-205.68763137735434,136,0.6118738784280476,0.001,
99,-109.71898268786074,174,0.6088145090359074,0.001,
100,-147.8223477950378,90,0.6057704364907278,0.001,-317.6196272409985
101,-241.31968644906564,138,0.6027415843082742,0.001,
102,-230.5574695361189,95,0.5997278763867329,0.001,
103,-187.18004780933438,115,0.5967292370047992,0.001,
104,-172.27690100293756,149,0.5937455908197752,0.001,
105,-185.48719556259638,130,0.5907768628656763,0.001,
106,-191.26839786987307,137,0.5878229785513479,0.001,
107,-200.2916430925096,138,0.5848838636585911,0.001,
108,-126.98835680421884,101,0.5819594443402982,0.001,
109,-185.40757904950613,150,0.5790496471185967,0.001,
110,-194.69676821368074,123,0.5761543988830038,0.001,-280.19311816965717
111,-232.91771591169112,114,0.5732736268885887,0.001,
112,-160.42386413962774,92,0.5704072587541458,0.001,
113,-263.7512617227364,107,0.567555222460375,0.001,
114,-203.57419154570044,133,0.5647174463480732,0.001,
115,-126.69980024467417,112,0.5618938591163328,0.001,
116,-160.2349994000015,123,0.5590843898207511,0.001,
117,-274.9475977013959,106,0.5562889678716474,0.001,
118,-170.01360512529516,156,0.5535075230322891,0.001,
119,-151.35421833874767,169,0.5507399854171277,0.001,
120,-199.9863163750058,147,0.547986285490042,0.001,-296.972504188049
