episode,return,length,epsilon,learning_rate,val_return
1,-333.07288635898374,98,0.995,0.001,
2,-555.2262953625677,93,0.990025,0.001,
3,-199.0960913675398,72,0.985074875,0.001,
4,-300.0007331081099,72,0.9801495006250001,0.001,
5,-391.3142693625823,84,0.9752487531218751,0.001,
6,-172.69373987075588,67,0.9703725093562657,0.001,
7,-352.6680086577416,93,0.9655206468094844,0.001,
8,-326.2911907551662,79,0.960693043575437,0.001,
9,-189.98383240966453,101,0.9558895783575597,0.001,
10,-397.8943414791062,104,0.9511101304657719,0.001,-880.2931852526124
11,-411.92428302628963,94,0.946354579813443,0.001,
12,-216.43378896612876,68,0.9416228069143757,0.001,
13,-348.9874794253513,83,0.9369146928798039,0.001,
14,-542.2585478608289,102,0.9322301194154049,0.001,
15,-230.86097460886663,78,0.9275689688183278,0.001,
16,-364.78844960992507,84,0.9229311239742362,0.001,
17,-389.9321002093518,89,0.918316468354365,0.001,
18,-252.2060477957893,64,0.9137248860125932,0.001,
19,-512.1757751207857,91,0.9091562615825302,0.001,
20,-217.89904825268138,124,0.9046104802746175,0.001,-860.9181140328316
21,-199.29088469948218,76,0.9000874278732445,0.001,
22,-355.8247703817588,93,0.8955869907338783,0.001,
23,-244.45462370017037,93,0.8911090557802088,0.001,
24,-273.2534395496262,142,0.8866535105013078,0.001,
25,-190.33043031768895,73,0.8822202429488013,0.001,
26,-170.40015773575502,82,0.8778091417340573,0.001,
27,-166.62985398606983,92,0.8734200960253871,0.001,
28,-163.92192995549152,122,0.8690529955452602,0.001,
29,-455.97613339283646,88,0.8647077305675338,0.001,
30,-259.6315911192387,113,0.8603841919146962,0.001,-289.384879592944
31,-187.29524215517606,69,0.8560822709551227,0.001,
32,-197.5952591854679,84,0.851801859600347,0.001,
33,-215.2721404059847,121,0.8475428503023453,0.001,
34,-148.91790226344614,128,0.8433051360508336,0.001,
35,-161.82852683117338,79,0.8390886103705794,0.001,
36,-189.1689688833965,79,0.8348931673187264,0.001,
37,-208.03565150451237,120,0.8307187014821328,0.001,
38,-205.07527239886178,87,0.8265651079747222,0.001,
39,-152.3969213794133,76,0.8224322824348486,0.001,
40,-201.8967836720133,69,0.8183201210226743,0.001,-133.67669392173894
41,-203.13236149141184,94,0.8142285204175609,0.001,
42,-196.14627722144488,153,0.810157377815473,0.001,
43,-176.32175607370507,93,0.8061065909263957,0.001,
44,-203.87428642589754,102,0.8020760579717637,0.001,
45,-163.55713305112582,90,0.798065677681905,0.001,
46,-207.8469487176595,132,0.7940753492934954,0.001,
47,-187.24620691196546,81,0.7901049725470279,0.001,
48,-159.543791595369,84,0.7861544476842928,0.001,
49,-171.22837258182992,117,0.7822236754458713,0.001,
50,-128.87625218437444,87,0.778312557068642,0.001,-132.81734124171004
51,-188.9013422683737,108,0.7744209942832988,0.001,
52,-202.04177661348575,94,0.7705488893118823,0.001,
53,-149.3513382963618,93,0.7666961448653229,0.001,
54,-62.36726393650844,83,0.7628626641409962,0.001,
55,-155.28484808369467,73,0.7590483508202912,0.001,
56,-355.3220157989091,75,0.7552531090661897,0.001,
57,-238.96555433220374,133,0.7514768435208588,0.001,
58,-136.1833601523016,80,0.7477194593032545,0.001,
59,-234.73437911956557,119,0.7439808620067382,0.001,
60,-191.89276460488958,128,0.7402609576967045,0.001,-170.12636452499967
61,-128.60814574522277,81,0.736559652908221,0.001,
62,-246.5768627726563,108,0.7328768546436799,0.001,
63,-172.06234061144227,77,0.7292124703704616,0.001,
64,-197.9962614736476,92,0.7255664080186093,0.001,
65,-94.61765426179903,1000,0.7219385759785162,0.001,
66,-196.8930214580174,117,0.7183288830986236,0.001,
67,-235.81125310969767,112,0.7147372386831305,0.001,
68,-241.2802074622847,102,0.7111635524897149,0.001,
69,-196.15796970802378,141,0.7076077347272662,0.001,
70,-165.0192770055162,136,0.7040696960536299,0.001,-155.63318411790925
71,-229.8025860120427,96,0.7005493475733617,0.001,
72,-296.4238441703027,148,0.697046600835495,0.001,
73,-118.92524228913844,128,0.6935613678313175,0.001,
