episode,final_state,steps,total_reward,final_velocity,final_altitude,final_x
0,"[ 0.46644402  0.12678102 -0.03334222 -0.02952464  0.54511    -0.12629692
  1.          0.        ]",416,-222.48302082432113,0.04453547,0.12678102,0.46644402
1,"[-1.0008951  -0.22657716 -0.21280062 -0.05092929 -0.02537166  0.03284879
  0.          0.        ]",659,-327.3832768356548,0.21881019,-0.22657716,-1.0008951
3,"[-6.2563205e-01  1.4703184e-01 -9.5430075e-04 -3.7042219e-02
 -4.7758493e-01  2.0858018e-01  1.0000000e+00  1.0000000e+00]",408,-234.22378447648603,0.03705451,0.14703184,-0.62563205
4,"[ 0.5895246  -0.09032452  0.19441895 -0.0536554  -0.4568086   0.07201579
  1.          1.        ]",526,-281.9494429535463,0.20168696,-0.09032452,0.5895246
5,"[-1.0016218   0.19202815 -0.24417238 -0.11614314 -0.02411382 -0.02599787
  0.          0.        ]",408,-262.25593368493844,0.27038747,0.19202815,-1.0016218
8,"[ 1.0020378   0.25757575  0.21000478 -0.12380756  0.02962867  0.03512817
  0.          0.        ]",345,-215.23045208197996,0.24378334,0.25757575,1.0020378
9,"[-0.46823296 -0.03330005 -0.00137076 -0.12233267  0.50179446 -0.5886855
  1.          1.        ]",480,-273.30832355470955,0.12234035,-0.033300046,-0.46823296
11,"[-1.0011674   0.16912387 -0.14634857 -0.07250945 -0.01718094 -0.10871531
  0.          0.        ]",448,-251.69286284945997,0.16332643,0.16912387,-1.0011674
14,"[-0.5202126  -0.1509677  -0.1967764  -0.10700821  0.62369865 -0.21864744
  1.          1.        ]",578,-293.43166743462854,0.22399043,-0.1509677,-0.5202126
18,"[ 0.1757741  -0.03346233 -0.04122455 -0.01193202 -0.21751107  0.16405223
  1.          1.        ]",497,-180.30363273269117,0.04291663,-0.033462334,0.1757741
19,"[-0.8791091  -0.18834735  0.00252421 -0.03665793 -0.5192395   0.20640776
  1.          1.        ]",571,-288.9606497600851,0.03674473,-0.18834735,-0.8791091
23,"[ 1.0024923   0.5955362   0.2526108  -0.10685244  0.04242675 -0.02760876
  0.          0.        ]",182,-165.30208553964553,0.27428025,0.5955362,1.0024923
24,"[ 0.92705935 -0.00731992  0.09335346 -0.10587772  0.03813139  0.70087785
  1.          1.        ]",478,-218.9282400260622,0.1411558,-0.007319918,0.92705935
25,"[ 1.0004635   0.3397781   0.17745414 -0.07960074  0.04140764 -0.04691606
  0.          0.        ]",282,-191.37773215786214,0.19448972,0.3397781,1.0004635
26,"[-1.0002376   0.224146   -0.16505408 -0.07519499  0.00719396  0.03750362
  0.          0.        ]",401,-237.59281325070873,0.18137568,0.224146,-1.0002376
28,"[ 0.76115435 -0.1024279   0.1482016  -0.11139376 -0.5887467   0.35026696
  1.          1.        ]",511,-278.79780500465336,0.18539764,-0.1024279,0.76115435
31,"[ 0.60565186  0.01937643 -0.1397458  -0.02884147  0.6138371  -0.04596473
  1.          1.        ]",440,-239.39504616526676,0.14269099,0.01937643,0.60565186
33,"[-0.9386514   0.08462156 -0.32027143 -0.1326136   0.47875416 -0.40594703
  1.          1.        ]",435,-313.6359573449672,0.34664124,0.084621556,-0.9386514
34,"[-0.9356925  -0.04647109 -0.3684422  -0.22280817  0.80934256 -0.18502364
  1.          1.        ]",457,-323.6370153896369,0.43057302,-0.046471085,-0.9356925
35,"[ 0.9628218  -0.13393341  0.13886437 -0.03699635  0.04277442  0.31353536
  0.          0.        ]",540,-250.90388633440392,0.14370818,-0.13393341,0.9628218
36,"[-1.0016627   0.09611379 -0.17456672 -0.08186158 -0.01002514 -0.05845938
  0.          0.        ]",453,-253.51040871344276,0.19280782,0.096113786,-1.0016627
38,"[ 0.28845158 -0.08428573  0.00704995 -0.07568821 -0.5517942   0.40525207
  1.          1.        ]",508,-226.90480705031584,0.07601583,-0.08428573,0.28845158
39,"[-1.0004138   0.08815235 -0.1826784  -0.03442159 -0.01395771 -0.05897599
  0.          0.        ]",441,-250.22596097525056,0.1858931,0.08815235,-1.0004138
40,"[-0.28710833  0.03695549  0.09369954 -0.04872699 -0.6141618   0.11973979
  1.          1.        ]",460,-263.1043284960143,0.105612144,0.036955487,-0.28710833
41,"[ 6.60585225e-01 -7.50650093e-02 -1.03510186e-01  1.61739718e-02
 -2.30551168e-01 -1.27283711e-04  1.00000000e+00  1.00000000e+00]",513,-218.30728836390952,0.1047662,-0.07506501,0.6605852
42,"[ 1.000089    0.42777014  0.12290289 -0.09841604  0.01732545  0.04485355
  0.          0.        ]",280,-176.90100461844514,0.15745106,0.42777014,1.000089
44,"[ 0.79693794  0.11166996  0.11713685 -0.0098536  -0.323766   -0.28993708
  0.          1.        ]",414,-220.64437098652937,0.11755057,0.11166996,0.79693794
46,"[-1.0033029   0.66505724 -0.41692168 -0.10710238 -0.10127144  0.0203806
  0.          0.        ]",164,-189.6224826610228,0.4304586,0.66505724,-1.0033029
48,"[-0.8469984   0.08271633 -0.06389652 -0.12732546  0.6102681  -0.45546
  1.          1.        ]",411,-265.782664393429,0.1424589,0.08271633,-0.8469984
