episode,return,length,epsilon,learning_rate,val_return
1,-227.65223198313504,80,,,
2,-229.03750921419902,86,,,
3,-261.23127469992164,108,,,
4,-178.07083863274687,62,,,
5,-287.94360136897456,130,,,
6,-221.14901130689492,64,,,
7,-471.84665473807183,129,,,
8,-529.8303552097975,129,,,
9,-323.60613615185196,113,,,
10,-200.20545870768163,75,,,
11,-281.95517252943375,141,,,
12,-258.2024841485939,106,,,
13,-200.38210516480424,78,,,
14,-300.1916711521333,123,,,
15,-351.66988703021764,111,,,
16,-187.8229361801763,70,,,
17,-329.0267330188102,143,,,
18,-233.17377499528703,73,,,
19,-310.733723112489,111,,,
20,-229.6356238723489,79,,,
21,-407.50761162859897,91,,,
22,-285.87847520026634,130,,,
23,-222.17839751904845,76,,,
24,-256.53595999390313,63,,,
25,-165.35417774064325,84,,,
26,-350.80809516811803,96,,,
27,-138.67237959406276,76,,,
28,-280.71395663069046,109,,,
29,-266.4375822212364,66,,,
30,-186.04575588834228,88,,,-255.778090522034
31,-328.4938462521403,83,,,
32,-245.36502251590875,82,,,
33,-243.7874567270403,104,,,
34,-331.5857346724846,106,,,
35,-244.53093017706743,93,,,
36,-270.4139735925338,62,,,
37,-187.25996768105585,76,,,
38,-224.9371347627072,126,,,
39,-217.95320176016267,114,,,
40,-207.6016418864338,71,,,
41,-204.80014844032394,62,,,
42,-326.9697344094092,62,,,
43,-341.4511965630725,118,,,
44,-364.31987483187226,114,,,
45,-385.4685306623155,112,,,
46,-211.49085488401334,68,,,
47,-386.3811734598829,106,,,
48,-249.09375937058664,66,,,
49,-179.6395063461805,72,,,
50,-403.16978365202414,93,,,
51,-201.9539424633328,75,,,
52,-269.4667406982256,108,,,
53,-330.94785659008346,113,,,
54,-205.0422987663099,114,,,
55,-260.3002484193764,73,,,
56,-216.63035056568646,66,,,
57,-192.15081115773174,89,,,
58,-172.4552842547815,56,,,
59,-329.45252912166904,104,,,
60,-280.27032465126007,87,,,-217.23166077105935
61,-227.755041617921,112,,,
62,-422.1508606231348,89,,,
63,-271.6007187475928,122,,,
64,-331.51599061665155,65,,,
65,-239.11423697600947,91,,,
66,-209.39561049154756,79,,,
67,-436.9207583382515,96,,,
68,-211.41945618470436,68,,,
69,-228.97654633596645,75,,,
70,-441.5878400793043,85,,,
71,-199.02627118775052,68,,,
72,-92.90808743738201,133,,,
73,-245.5257219216107,74,,,
74,-231.40611788294197,73,,,
75,-244.26309185933104,66,,,
76,-329.73975659827244,81,,,
77,-295.2803976294515,76,,,
78,-241.65616759337814,108,,,
79,-252.34251666068428,93,,,
80,-204.66650310066865,60,,,
81,-97.31956216711815,72,,,
82,-306.06453883412587,59,,,
83,-225.17497636509728,102,,,
84,-227.89114836865116,88,,,
85,-373.9188041702446,104,,,
86,-289.7717655279572,93,,,
87,-219.2530694858555,78,,,
88,-226.83325830926475,98,,,
89,-193.2627981564754,63,,,
