learning_rate,gamma,entropy_coef,optimizer,value_coef,val_return,val_std,val_success_rate,val_fuel_usage,best_train_return,final_train_return
0.0005,0.95,0.001,adam,0.5,-253.88524682340912,70.53292772847186,0.0,46.9,-57.15379722796587,-416.27694085553935
0.0005,0.95,0.001,adam,1.0,-291.88710550371104,102.81298249246811,0.0,47.0,-71.44151734039386,-231.32288516346023
0.0005,0.95,0.01,adam,0.5,-218.20390878803784,89.06619540452012,0.0,44.2,-74.3878552392781,-233.00518523325673
0.0005,0.95,0.01,adam,1.0,-217.08203828059442,23.639893246485713,0.0,32.6,-44.42258620793065,-187.09292823725409
0.0005,0.99,0.001,adam,0.5,-243.83660397336362,34.02643629693737,0.0,44.4,-74.32099477668251,-83.57770359176682
0.0005,0.99,0.001,adam,1.0,-238.5908290484083,42.86645354279146,0.0,51.0,-62.304529107653764,-192.87068545568886
0.0005,0.99,0.01,adam,0.5,-287.68412315213743,68.63336771884386,0.0,43.2,-46.53840497527855,-221.8199481130073
0.0005,0.99,0.01,adam,1.0,-328.62032043234814,115.29716023317471,0.0,50.8,-82.16871013175708,-467.53220655435746
0.001,0.95,0.001,adam,0.5,-272.74746404935206,79.47357177476088,0.0,49.5,-82.86149592877166,-244.00677814004337
0.001,0.95,0.001,adam,1.0,-215.94258503563637,36.06260621069685,0.0,49.2,-106.47897180224646,-191.33520672940108
0.001,0.95,0.01,adam,0.5,-216.02455443412956,20.59620326884202,0.0,6.7,-66.51502886021413,-242.89138915918696
0.001,0.95,0.01,adam,1.0,-276.672040741756,59.28600846148126,0.0,42.5,-13.344423829106484,-536.4885582614547
0.001,0.99,0.001,adam,0.5,-203.97596628596534,48.973097894180235,0.0,46.3,-81.38618581992186,-228.24003159187657
0.001,0.99,0.001,adam,1.0,-219.87792984069932,61.75338543395954,0.0,16.7,-91.63790862484703,-431.7641484997921
0.001,0.99,0.01,adam,0.5,-247.327568646287,13.546196967083908,0.0,54.7,-78.85313223838538,-311.1492767583481
0.001,0.99,0.01,adam,1.0,-350.52281252840515,116.29135502363687,0.0,54.4,-115.56367526946474,-403.9254909419327
