episode,return,length,epsilon,learning_rate,val_return
1,-401.3295538213391,100,0.995,0.001,
2,-296.6077199023648,68,0.990025,0.001,
3,-257.9327942946224,88,0.985074875,0.001,
4,-293.1390970269225,85,0.9801495006250001,0.001,
5,-327.20449344378653,83,0.9752487531218751,0.001,
6,-190.85541932173803,60,0.9703725093562657,0.001,
7,-131.88603644419248,111,0.9655206468094844,0.001,
8,-324.07889590000184,74,0.960693043575437,0.001,
9,-214.469146816273,97,0.9558895783575597,0.001,
10,-216.28184244506946,87,0.9511101304657719,0.001,
11,-407.4676746223414,131,0.946354579813443,0.001,
12,-178.2758087975656,100,0.9416228069143757,0.001,
13,-277.06349418125757,92,0.9369146928798039,0.001,
14,-205.02359757215595,62,0.9322301194154049,0.001,
15,-489.39917014741013,131,0.9275689688183278,0.001,
16,-161.9793970151968,93,0.9229311239742362,0.001,
17,-373.278024003509,112,0.918316468354365,0.001,
18,-394.15292243866685,137,0.9137248860125932,0.001,
19,-281.26336409676674,143,0.9091562615825302,0.001,
20,-359.5465796951127,129,0.9046104802746175,0.001,
21,-203.96626530722432,99,0.9000874278732445,0.001,
22,-212.65802072337587,100,0.8955869907338783,0.001,
23,-204.057702776307,69,0.8911090557802088,0.001,
24,-214.45735694026158,80,0.8866535105013078,0.001,
25,-265.6452565867877,86,0.8822202429488013,0.001,
26,-78.28734744448887,85,0.8778091417340573,0.001,
27,-123.78519526585218,75,0.8734200960253871,0.001,
28,-219.5538239682374,70,0.8690529955452602,0.001,
29,-272.70955510936744,87,0.8647077305675338,0.001,
30,-280.708111025927,101,0.8603841919146962,0.001,-444.38832176195217
31,-304.70909854254796,137,0.8560822709551227,0.001,
32,-331.7865278343507,124,0.851801859600347,0.001,
33,-213.44260120551513,88,0.8475428503023453,0.001,
34,-273.2884365858332,104,0.8433051360508336,0.001,
35,-354.3989388563838,130,0.8390886103705794,0.001,
36,-204.60573860769327,99,0.8348931673187264,0.001,
37,-209.76919725712338,117,0.8307187014821328,0.001,
38,-245.98416109550584,149,0.8265651079747222,0.001,
39,-125.81636375259887,87,0.8224322824348486,0.001,
40,-197.39508702038611,85,0.8183201210226743,0.001,
41,-216.25449151103888,87,0.8142285204175609,0.001,
42,-37.07300716955351,1000,0.810157377815473,0.001,
43,-311.6730005843615,150,0.8061065909263957,0.001,
44,-143.07888068415738,74,0.8020760579717637,0.001,
45,-226.14222430488928,126,0.798065677681905,0.001,
46,-253.0086463450986,84,0.7940753492934954,0.001,
47,-196.9173327132691,85,0.7901049725470279,0.001,
48,-163.3276188320336,73,0.7861544476842928,0.001,
49,-237.33318081060457,115,0.7822236754458713,0.001,
50,-250.734933394174,106,0.778312557068642,0.001,
51,-220.58073639990246,97,0.7744209942832988,0.001,
52,-270.48028356416444,85,0.7705488893118823,0.001,
53,-210.6898394995394,124,0.7666961448653229,0.001,
54,-259.09520364074604,116,0.7628626641409962,0.001,
55,-123.40861679338991,119,0.7590483508202912,0.001,
56,-132.34366077028977,155,0.7552531090661897,0.001,
57,-203.41356878461124,109,0.7514768435208588,0.001,
58,-75.73020559512533,125,0.7477194593032545,0.001,
59,-172.59670555148972,142,0.7439808620067382,0.001,
60,-179.83322844841894,174,0.7402609576967045,0.001,-98.7259884303314
61,-212.9699499664731,88,0.736559652908221,0.001,
62,-320.12488968344445,132,0.7328768546436799,0.001,
63,-254.69972279323255,112,0.7292124703704616,0.001,
64,-141.02920914790573,85,0.7255664080186093,0.001,
65,-243.69943746436542,148,0.7219385759785162,0.001,
66,-212.2730227912927,159,0.7183288830986236,0.001,
67,-118.81443382046993,86,0.7147372386831305,0.001,
68,-199.51028741486198,92,0.7111635524897149,0.001,
69,-182.6475723831801,91,0.7076077347272662,0.001,
70,-125.09286798134474,108,0.7040696960536299,0.001,
71,-243.83481075850563,117,0.7005493475733617,0.001,
72,-209.36465811487108,136,0.697046600835495,0.001,
73,-98.1182470161532,114,0.6935613678313175,0.001,
74,-85.38533596211829,1000,0.6900935609921609,0.001,
75,-144.16898036210333,78,0.6866430931872001,0.001,
76,-189.8448141918371,127,0.6832098777212641,0.001,
77,-146.30086058122902,117,0.6797938283326578,0.001,
78,-150.65524903758057,88,0.6763948591909945,0.001,
79,-160.91494696034277,115,0.6730128848950395,0.001,
80,-109.91568516320994,82,0.6696478204705644,0.001,
81,-114.23654050653063,106,0.6662995813682115,0.001,
82,-58.22767765308595,1000,0.6629680834613705,0.001,
83,-121.86654751246044,127,0.6596532430440636,0.001,
84,-227.41407838795715,93,0.6563549768288433,0.001,
85,-35.927873995746495,1000,0.653073201944699,0.001,
86,-183.96355873684706,150,0.6498078359349755,0.001,
87,-155.5303557842462,106,0.6465587967553006,0.001,
88,-165.79420250798944,141,0.6433260027715241,0.001,
89,-198.11639827466843,111,0.6401093727576664,0.001,
90,-42.47098436388989,1000,0.6369088258938781,0.001,22.265288425533548
91,-213.63852412397196,116,0.6337242817644086,0.001,
92,-139.30446139173867,119,0.6305556603555866,0.001,
93,-190.2780319426235,128,0.6274028820538087,0.001,
94,-232.13119202589004,191,0.6242658676435396,0.001,
95,-243.9183518317114,187,0.6211445383053219,0.001,
96,-142.3314553034084,175,0.6180388156137953,0.001,
97,-175.32284523122388,132,0.6149486215357263,0.001,
98,-138.0045917699335,92,0.6118738784280476,0.001,
99,-140.33073163615128,92,0.6088145090359074,0.001,
100,-147.1086097865865,123,0.6057704364907278,0.001,
101,-305.1591601474561,139,0.6027415843082742,0.001,
102,-139.60328767677703,143,0.5997278763867329,0.001,
103,-176.8283156567402,105,0.5967292370047992,0.001,
104,-228.96518115807334,143,0.5937455908197752,0.001,
105,-79.12228495257813,157,0.5907768628656763,0.001,
106,-178.551245539808,146,0.5878229785513479,0.001,
107,-162.52264053702217,81,0.5848838636585911,0.001,
108,-100.83562147555702,126,0.5819594443402982,0.001,
109,-188.28486620890797,145,0.5790496471185967,0.001,
110,-134.66137380325335,140,0.5761543988830038,0.001,
111,-201.10423370050756,153,0.5732736268885887,0.001,
112,-267.0688115046723,107,0.5704072587541458,0.001,
113,-122.83669188631612,92,0.567555222460375,0.001,
114,-162.40898804599402,157,0.5647174463480732,0.001,
115,-166.61591437516134,71,0.5618938591163328,0.001,
116,-190.60391519511666,128,0.5590843898207511,0.001,
117,-129.20371633709158,103,0.5562889678716474,0.001,
118,-226.6348035258869,203,0.5535075230322891,0.001,
119,-117.99453666092359,144,0.5507399854171277,0.001,
120,-450.63074945623293,260,0.547986285490042,0.001,76.74152738132749
121,-215.9592234316938,150,0.5452463540625918,0.001,
122,-131.38301643904478,178,0.5425201222922789,0.001,
123,-257.730969838026,148,0.5398075216808175,0.001,
124,-186.58560956532835,86,0.5371084840724134,0.001,
125,-144.97191971461194,77,0.5344229416520513,0.001,
126,-156.82041417026434,166,0.531750826943791,0.001,
127,-121.62668896449063,98,0.5290920728090721,0.001,
128,-197.47458326468788,176,0.5264466124450268,0.001,
129,27.351084287291986,1000,0.5238143793828016,0.001,
130,-112.18067699895805,94,0.5211953074858876,0.001,
131,-186.79509494088578,135,0.5185893309484582,0.001,
132,-95.3335436890977,216,0.5159963842937159,0.001,
133,-193.98464073623387,211,0.5134164023722473,0.001,
134,-410.2421987418834,222,0.510849320360386,0.001,
135,-169.05939571696712,162,0.5082950737585841,0.001,
136,-141.77627408015627,101,0.5057535983897912,0.001,
137,-108.30741051041639,126,0.5032248303978422,0.001,
138,-126.78047724713751,96,0.500708706245853,0.001,
139,-172.65555166690706,92,0.4982051627146237,0.001,
140,-87.52398192277857,99,0.49571413690105054,0.001,
141,36.8380169389296,1000,0.4932355662165453,0.001,
142,-336.6540191901188,255,0.4907693883854626,0.001,
143,-123.43221655648063,182,0.4883155414435353,0.001,
144,-152.8893382394394,175,0.4858739637363176,0.001,
145,-136.90430671899128,196,0.483444593917636,0.001,
146,-103.98358610113526,122,0.4810273709480478,0.001,
147,-117.50303606724472,203,0.47862223409330756,0.001,
148,-146.035996600713,147,0.47622912292284103,0.001,
149,-149.53098954116626,91,0.4738479773082268,0.001,
150,-155.6394046301018,278,0.47147873742168567,0.001,49.71524085360554
151,4.4085716697011295,1000,0.46912134373457726,0.001,
152,-247.0918200842038,100,0.46677573701590436,0.001,
153,-80.27748382591736,1000,0.46444185833082485,0.001,
154,-111.54847172978552,120,0.46211964903917074,0.001,
155,-135.81512253087897,185,0.4598090507939749,0.001,
156,-158.62630893116804,114,0.457510005540005,0.001,
157,21.25088115435865,1000,0.45522245551230495,0.001,
158,-104.17911446849278,178,0.4529463432347434,0.001,
159,14.439042511852783,1000,0.4506816115185697,0.001,
160,-206.00362189185694,1000,0.4484282034609769,0.001,
161,-8.609132141318202,1000,0.446186062443672,0.001,
162,-4.634070982342779,1000,0.4439551321314536,0.001,
163,-65.00568750707049,1000,0.4417353564707963,0.001,
164,11.43077802123291,1000,0.43952667968844233,0.001,
165,-153.58487226181802,293,0.43732904629000013,0.001,
166,-116.10402540455729,225,0.4351424010585501,0.001,
167,-101.46900874294093,158,0.43296668905325736,0.001,
168,-147.25953931580605,181,0.43080185560799106,0.001,
169,-65.69307685890483,1000,0.4286478463299511,0.001,
170,-298.4464830443919,436,0.42650460709830135,0.001,
171,-148.0649644886349,470,0.42437208406280985,0.001,
172,-156.33672099909995,247,0.4222502236424958,0.001,
