episode,return,length,epsilon,learning_rate,val_return
1,-548.677375314636,115,,,
2,-527.8480130912858,145,,,
3,-259.96823523016184,113,,,
4,-427.8510127535287,163,,,
5,-350.0394024682146,87,,,
6,-529.0822509515323,113,,,
7,-280.1310913518428,116,,,
8,-529.0828115167166,95,,,
9,-264.2114103179202,73,,,
10,-317.6099411436179,144,,,-297.2470540491067
11,-251.24516464784966,96,,,
12,-227.1168717811794,116,,,
13,-241.1697912341604,96,,,
14,-490.6458503829788,100,,,
15,-329.45516912759865,105,,,
16,-414.28519154362095,98,,,
17,-238.2529940475289,96,,,
18,-412.73257229336457,119,,,
19,-440.1521816964988,105,,,
20,-226.6104718944972,76,,,-297.2470540491067
21,-260.5671978888864,123,,,
22,-193.95248776334958,70,,,
23,-478.6731739310095,100,,,
24,-541.9752147760078,136,,,
25,-250.24283386956222,82,,,
26,-318.71513853919123,153,,,
27,-222.28698406177432,86,,,
28,-274.79933099236973,126,,,
29,-202.79262925537057,72,,,
30,-155.86848012227824,67,,,-297.2470540491067
31,-231.97336948144664,75,,,
32,-226.930261933587,112,,,
33,-299.5798858223376,89,,,
34,-225.8318596196249,98,,,
35,-203.154194906873,77,,,
36,-446.69475969920904,85,,,
37,-234.41996967483578,104,,,
38,-414.123639200868,102,,,
39,-95.17763374108705,65,,,
40,-527.3992551251729,92,,,-297.2470540491067
41,-366.56378482275625,115,,,
42,-160.51815466182137,80,,,
43,-256.4011058611345,75,,,
44,-240.10717627366995,125,,,
45,-288.7106907357388,106,,,
46,-180.57520917820395,81,,,
47,-269.6690787232553,97,,,
48,-157.6732566604029,71,,,
49,-185.53233347885754,75,,,
50,-408.8685239588118,95,,,-297.2470540491067
51,-261.8736417589954,74,,,
52,-320.5871573995114,81,,,
53,-225.0655659782705,65,,,
54,-294.34829074537356,72,,,
55,-178.64750056851503,70,,,
56,-232.07408730948976,98,,,
57,-266.08497980883004,93,,,
58,-491.72739888432625,111,,,
59,-437.1993154075858,100,,,
60,-211.9369972562231,114,,,-297.2470540491067
61,-227.51914110031794,77,,,
62,-493.14721547954827,127,,,
63,-265.9042040106059,87,,,
64,-507.7494094728904,81,,,
65,-393.2032809786043,106,,,
66,-489.4963743135286,91,,,
67,-400.32676967265036,115,,,
68,-271.3075636344936,111,,,
69,-204.56838390206454,82,,,
70,-469.9273910001363,102,,,-297.2470540491067
71,-162.75390871140274,64,,,
72,-182.8668473924116,127,,,
73,-195.27325203131028,78,,,
74,-154.38000428742845,73,,,
75,-181.34320735744546,64,,,
76,-232.7025197539245,81,,,
77,-490.80412318237745,99,,,
78,-358.9510736228513,108,,,
79,-171.79932863505718,93,,,
80,-217.69329271307384,83,,,-297.2470540491067
81,-441.8350747300021,95,,,
82,-181.2319384107778,70,,,
83,-453.8620193516198,92,,,
84,-191.24907470091637,78,,,
85,-318.2356139873004,85,,,
86,-213.2718351956177,72,,,
87,-159.11153490348542,128,,,
88,-544.164900038934,122,,,
89,-449.132422871612,126,,,
90,-325.1124939703906,75,,,-297.2470540491067
91,-306.3536004365621,94,,,
92,-227.3731495898399,121,,,
93,-194.78762507715055,65,,,
94,-194.13806175633349,88,,,
95,-404.73004634037295,100,,,
96,-476.65578853052267,113,,,
97,-458.0327318980839,106,,,
98,-504.49259158769803,113,,,
99,-252.1592350049403,79,,,
100,-259.8038117369273,105,,,-297.2470540491067
101,-240.3590786586061,100,,,
102,-214.41821917825376,117,,,
103,-480.7010425568826,112,,,
104,-279.5122832931352,75,,,
105,-206.2944779055596,122,,,
106,-275.2171869845858,104,,,
107,-336.8515136151501,106,,,
108,-491.76716996498567,119,,,
109,-410.5847035003776,104,,,
110,-255.44157210955345,109,,,-297.2470540491067
111,-308.93314583093127,129,,,
112,-214.73158679929918,71,,,
113,-360.2762910210172,138,,,
114,-248.93264213481598,111,,,
115,-420.378130605466,109,,,
116,-270.47192479689056,112,,,
117,-559.2930295463415,139,,,
118,-239.4057158783201,100,,,
119,-244.722036175405,71,,,
120,-174.82755595724205,78,,,-297.2470540491067
121,-160.04076279671787,95,,,
122,-214.47420672780962,83,,,
123,-250.695114755303,117,,,
124,-491.3822166278255,122,,,
125,-117.28977713838536,85,,,
126,-230.38377514635656,111,,,
127,-465.91448694900373,101,,,
128,-228.42063320087829,98,,,
129,-222.35707364554895,77,,,
130,-402.4209546617496,103,,,-297.2470540491067
131,-294.4634650822611,82,,,
132,-316.18935805140177,142,,,
133,-239.9086437503119,84,,,
134,-178.94141290182796,69,,,
135,-192.13790814891368,74,,,
136,-186.31729151571415,72,,,
137,-178.93369094191,74,,,
138,-320.47211279740117,112,,,
139,-494.12667051018377,110,,,
140,-204.40442454286367,76,,,-297.2470540491067
141,-157.09869846500038,66,,,
142,-503.4321021186437,130,,,
143,-183.19982060741262,60,,,
144,-386.4772082447446,96,,,
145,-283.2903175257709,111,,,
146,-176.94100282973008,91,,,
147,-257.8945534969755,87,,,
148,-393.9608789986773,104,,,
149,-262.2183694224525,77,,,
150,-471.21371132388083,90,,,-297.2470540491067
151,-262.26619345295467,118,,,
152,-530.8590184412134,114,,,
153,-234.91064373128808,106,,,
154,-327.12663508731197,109,,,
155,-174.6517509008986,71,,,
156,-527.5890378645165,103,,,
157,-318.6783196045121,100,,,
158,-195.41392591726924,81,,,
159,-234.64425877117623,81,,,
160,-414.23637828377844,90,,,-297.2470540491067
161,-450.4908079278291,114,,,
162,-213.99492443788543,76,,,
163,-208.15713885844946,77,,,
164,-171.31477717487553,108,,,
165,-260.6127336595295,94,,,
166,-243.59007251360742,89,,,
167,-215.10533245729417,79,,,
168,-459.3131707936667,90,,,
169,-129.61214818557943,147,,,
170,-218.0065414436466,69,,,-297.2470540491067
171,-169.71869425603518,65,,,
172,-275.71801512922036,161,,,
173,-329.8718663181471,77,,,
174,-292.4325550056052,150,,,
175,-425.5124899943805,104,,,
176,-510.5482148108183,118,,,
177,-239.59289466204572,87,,,
178,-479.2796920320017,111,,,
179,-218.86408054129217,81,,,
180,-528.7704782770261,123,,,-297.2470540491067
181,-255.3025921748517,82,,,
182,-220.93985382485994,107,,,
183,-458.79929428288136,94,,,
184,-440.40445557894714,109,,,
185,-232.84045136052362,83,,,
186,-454.83544024124507,92,,,
187,-444.48849281008404,103,,,
188,-172.0298769729236,77,,,
189,-287.6512813230362,109,,,
190,-486.88074456088464,100,,,-297.2470540491067
191,-391.1462140839968,128,,,
192,-184.8561873040293,74,,,
193,-285.59659659852286,75,,,
194,-300.9747218084458,104,,,
195,-449.71789384352655,106,,,
196,-489.4557405553096,107,,,
197,-253.86749461987984,66,,,
198,-167.01482031525478,149,,,
199,-347.1445855391039,115,,,
200,-298.4022413094937,77,,,-297.2470540491067
201,-197.15051533782434,70,,,
202,-264.008965842741,83,,,
203,-272.0948065320302,94,,,
204,-356.47568588042463,96,,,
205,-222.09416756694765,68,,,
206,-179.00812446353245,68,,,
207,-338.65396216255886,74,,,
208,-210.14155763337038,92,,,
209,-280.3676791089056,98,,,
210,-551.2211071914855,124,,,-297.2470540491067
211,-507.58158754963466,114,,,
212,-234.90504244722348,112,,,
213,-175.97802082369205,71,,,
214,-192.90741504411417,80,,,
215,-278.5694991239311,112,,,
216,-184.59260827858003,77,,,
217,-186.39159237624517,67,,,
218,-269.0634026268462,60,,,
219,-222.48565275588606,88,,,
220,-659.8439465835881,130,,,-297.2470540491067
221,-210.0857515555986,78,,,
222,-473.2423678671223,107,,,
223,-502.32308173285617,101,,,
224,-268.66408698298494,96,,,
225,-246.54794071045748,80,,,
226,-499.34751475667554,88,,,
227,-164.00358588673478,62,,,
228,-224.4640288634319,88,,,
229,-323.3854560436872,115,,,
230,-204.8633782941496,93,,,-297.2470540491067
231,-346.22106790336557,102,,,
232,-239.1704990970073,90,,,
233,-250.32098446682008,78,,,
234,-465.00544919839524,86,,,
235,-449.5014473147935,83,,,
236,-400.94626892507915,111,,,
237,-191.3974015359069,70,,,
238,-409.2317958119535,82,,,
239,-238.51667835166973,75,,,
240,-523.8682795007747,109,,,-297.2470540491067
241,-292.8946077232279,76,,,
242,-232.76945162245354,69,,,
243,-472.73307874911086,103,,,
244,-273.1411260162763,113,,,
245,-178.5185183623743,63,,,
246,-257.9183477982783,136,,,
247,-310.8313365954091,121,,,
248,-410.5771762464872,106,,,
249,-315.4156072010471,82,,,
250,-331.7163081790381,71,,,-297.2470540491067
251,-216.5688521885839,73,,,
252,-197.0337349982892,76,,,
253,-479.1223959785466,103,,,
254,-375.26005196049493,103,,,
255,-515.3830715570939,123,,,
256,-229.25497760782872,120,,,
257,-261.72155433110845,88,,,
258,-522.5967574118171,99,,,
259,-489.9241494439785,98,,,
260,-270.51679887917396,111,,,-297.2470540491067
261,-100.88579476580189,78,,,
262,-198.57096744521087,77,,,
263,-184.9066177198133,70,,,
264,-330.2078836448397,88,,,
265,-374.2106780641037,139,,,
266,-116.97316888857019,166,,,
267,-264.7530259065077,102,,,
268,-222.5979866795682,94,,,
269,-175.79810334939307,63,,,
270,-201.7954083268801,126,,,-297.2470540491067
271,-175.6734039661697,64,,,
272,-282.65424964393253,80,,,
273,-292.7927810164831,118,,,
274,-298.6249070104909,134,,,
275,-251.1629053817167,92,,,
276,-284.68816671285265,83,,,
277,-307.2630390475487,135,,,
278,-409.74162387953976,79,,,
279,-196.69044718717967,64,,,
280,-516.8738013816405,97,,,-297.2470540491067
281,-236.87830857369676,63,,,
282,-328.41687195394184,82,,,
283,-211.75808630635316,91,,,
284,-148.42375887787776,66,,,
285,-242.9059839204893,83,,,
286,-190.1960236347069,81,,,
287,-498.49273913633095,119,,,
288,-582.9500747839224,128,,,
289,-403.5039959459154,88,,,
290,-184.36127570494116,69,,,-297.2470540491067
291,-192.97443470417045,74,,,
292,-168.1375167169541,75,,,
293,-334.8071654089894,98,,,
294,-501.631450271056,97,,,
295,-584.5347056981363,115,,,
296,-213.19193226999315,91,,,
297,-223.47584335748564,84,,,
298,-317.68568049221193,83,,,
299,-169.5699158053087,70,,,
300,-233.0545792308883,123,,,-297.2470540491067
301,-271.17382146851287,85,,,
302,-224.45861596426624,78,,,
303,-255.36427776634784,98,,,
304,-465.35516198151595,87,,,
305,-366.06842357574743,99,,,
306,-443.1913615131144,132,,,
307,-159.6525396001249,94,,,
308,-232.65015749027657,98,,,
309,-223.72119469066826,80,,,
310,-265.4376978575534,67,,,-297.2470540491067
311,-268.9128500731058,100,,,
312,-436.97397672875945,103,,,
313,-213.1969739586447,72,,,
314,-220.18732841806806,83,,,
315,-228.89173736807174,66,,,
