episode,return,length,epsilon,learning_rate,val_return
1,-101.36127406640055,124,,,
2,-480.36487772443405,89,,,
3,-163.95295781912318,74,,,
4,-458.6002790710387,105,,,
5,-246.5007318936064,114,,,
6,-161.54169180408445,70,,,
7,-238.67211974896085,65,,,
8,-304.1972804686328,88,,,
9,-552.1333000170101,120,,,
10,-672.3432639457217,96,,,
11,-200.61601930596532,105,,,
12,-286.1752262402793,93,,,
13,-262.25494278079395,92,,,
14,-657.4197103223199,138,,,
15,-572.239670205338,97,,,
16,-555.0307032791479,105,,,
17,-441.05558777049936,148,,,
18,-294.9345587838043,96,,,
19,-443.0083934591829,97,,,
20,-439.3230110417104,94,,,
21,-290.40878337369236,144,,,
22,-216.69067496207754,105,,,
23,-253.83954988010294,94,,,
24,-226.70823561473594,107,,,
25,-230.19527527989274,146,,,
26,-153.72065548167808,78,,,
27,-163.21329328914052,140,,,
28,-689.2304050593376,111,,,
29,-901.5937549598107,206,,,
30,-366.4826486973811,97,,,-755.3688446859236
31,-518.125256645022,136,,,
32,-447.7980067937793,141,,,
33,-418.26596135367964,157,,,
34,-322.16918549657,145,,,
35,-188.42461411139834,147,,,
36,-362.4339864626603,158,,,
37,-444.3397727817478,82,,,
38,-554.3594704935284,260,,,
39,-896.2547323217675,319,,,
40,-205.48990123845957,144,,,
41,-130.01503846521595,185,,,
42,-672.4770359057684,299,,,
43,-367.80676486100043,220,,,
44,-336.4759618457184,122,,,
45,-663.9648187233568,335,,,
46,-458.63023490828607,275,,,
47,-305.15967311858566,137,,,
48,-391.80542048188744,312,,,
49,-518.2740132970916,139,,,
50,-440.95495617196843,165,,,
51,-265.0103778984424,191,,,
52,-478.81218054862666,306,,,
53,-328.64554348651654,326,,,
54,-471.7505674746776,385,,,
55,-393.10013400587,224,,,
56,-300.15535816100765,214,,,
57,-472.3428424096416,384,,,
58,-107.13609943182557,190,,,
59,-282.5416387413268,174,,,
60,-200.14154755077934,322,,,-380.4437463361499
61,-416.7671056094286,263,,,
