episode,return,length,epsilon,learning_rate,val_return
1,-403.5199375617723,80,0.995,0.001,
2,-213.36198174949493,82,0.990025,0.001,
3,-519.4814009951131,106,0.985074875,0.001,
4,-291.7894550604195,115,0.9801495006250001,0.001,
5,-194.27993279887693,112,0.9752487531218751,0.001,
6,-366.2532604377063,90,0.9703725093562657,0.001,
7,-382.63454605906344,92,0.9655206468094844,0.001,
8,-285.23514733721606,94,0.960693043575437,0.001,
9,-309.5587892092163,114,0.9558895783575597,0.001,
10,-371.1603199834161,101,0.9511101304657719,0.001,-269.15878009708376
11,-343.25512288647576,124,0.946354579813443,0.001,
12,-436.70914319684476,96,0.9416228069143757,0.001,
13,-475.79169040995794,121,0.9369146928798039,0.001,
14,-362.94474471447023,100,0.9322301194154049,0.001,
15,-216.76198663823533,72,0.9275689688183278,0.001,
16,-194.21540727471762,79,0.9229311239742362,0.001,
17,-251.60075350014327,98,0.918316468354365,0.001,
18,-219.25399787253306,69,0.9137248860125932,0.001,
19,-212.66799150118482,76,0.9091562615825302,0.001,
20,-189.01254232902852,89,0.9046104802746175,0.001,-196.14495823600802
21,-157.49217138226848,81,0.9000874278732445,0.001,
22,-346.59799544225,72,0.8955869907338783,0.001,
23,-221.99657087832466,79,0.8911090557802088,0.001,
24,-389.6146969439917,115,0.8866535105013078,0.001,
25,-235.24435118620298,82,0.8822202429488013,0.001,
26,-281.74034633458683,120,0.8778091417340573,0.001,
27,-276.89030727646355,106,0.8734200960253871,0.001,
28,-244.1960020458842,112,0.8690529955452602,0.001,
29,-169.3967593088449,65,0.8647077305675338,0.001,
30,-278.2119716894459,136,0.8603841919146962,0.001,-430.286368203765
31,-267.3170291278678,110,0.8560822709551227,0.001,
32,-176.69664011799523,104,0.851801859600347,0.001,
33,-176.83790317374002,71,0.8475428503023453,0.001,
34,-237.16425946452142,96,0.8433051360508336,0.001,
35,-258.59742146060927,120,0.8390886103705794,0.001,
36,-180.84047915052267,69,0.8348931673187264,0.001,
37,-168.35551844408081,121,0.8307187014821328,0.001,
38,-193.8306897187457,92,0.8265651079747222,0.001,
39,-225.47840950409605,90,0.8224322824348486,0.001,
40,-226.948135339064,106,0.8183201210226743,0.001,-302.01242399733854
41,-180.2368195061243,89,0.8142285204175609,0.001,
42,-181.05355448998012,107,0.810157377815473,0.001,
43,-179.1035016976771,96,0.8061065909263957,0.001,
44,-268.11320696904687,131,0.8020760579717637,0.001,
45,-238.82439319236462,63,0.798065677681905,0.001,
46,-191.47259897851782,76,0.7940753492934954,0.001,
47,-222.04670650327358,85,0.7901049725470279,0.001,
48,-259.4108063109947,87,0.7861544476842928,0.001,
49,-214.75651909551902,93,0.7822236754458713,0.001,
50,-151.88107731901403,72,0.778312557068642,0.001,-439.6105802025566
51,-277.3348604351776,118,0.7744209942832988,0.001,
52,-119.30260557928968,113,0.7705488893118823,0.001,
53,-185.95367239244936,99,0.7666961448653229,0.001,
54,-240.21984713735185,74,0.7628626641409962,0.001,
55,-197.65684032682168,127,0.7590483508202912,0.001,
56,-315.45761056905815,139,0.7552531090661897,0.001,
57,-227.50321375683205,124,0.7514768435208588,0.001,
58,-136.61876929902093,75,0.7477194593032545,0.001,
59,-124.30235702637748,75,0.7439808620067382,0.001,
60,-192.2446018610151,97,0.7402609576967045,0.001,-162.28083459217606
61,-209.1156947963578,72,0.736559652908221,0.001,
62,-369.14594431815044,133,0.7328768546436799,0.001,
63,-199.93802878795182,93,0.7292124703704616,0.001,
64,-179.7002900763589,153,0.7255664080186093,0.001,
65,-222.20293220589687,109,0.7219385759785162,0.001,
66,-149.13759428136697,72,0.7183288830986236,0.001,
67,-189.91264362663807,110,0.7147372386831305,0.001,
68,-225.51677286501484,94,0.7111635524897149,0.001,
69,-208.6302343280939,160,0.7076077347272662,0.001,
70,-177.71071098907169,122,0.7040696960536299,0.001,-247.9522180494452
71,-212.4658694440668,115,0.7005493475733617,0.001,
72,-219.33428586126007,115,0.697046600835495,0.001,
73,-218.87847422103624,97,0.6935613678313175,0.001,
74,-196.37128393544975,90,0.6900935609921609,0.001,
75,-217.6917732647443,153,0.6866430931872001,0.001,
76,-169.55194716437845,115,0.6832098777212641,0.001,
77,-179.98891989675207,134,0.6797938283326578,0.001,
78,-192.59783908764157,80,0.6763948591909945,0.001,
79,-193.83182677531786,125,0.6730128848950395,0.001,
80,-185.79007180117932,120,0.6696478204705644,0.001,-185.9883416720661
81,-166.55116044709453,106,0.6662995813682115,0.001,
82,-167.77599644898555,78,0.6629680834613705,0.001,
83,-80.35900076866446,1000,0.6596532430440636,0.001,
84,-185.15129384763523,112,0.6563549768288433,0.001,
85,-211.9170072421906,128,0.653073201944699,0.001,
86,-196.6689208771115,92,0.6498078359349755,0.001,
87,-148.77075176334938,133,0.6465587967553006,0.001,
88,-203.84652779115942,146,0.6433260027715241,0.001,
89,-229.0958464911579,109,0.6401093727576664,0.001,
