episode,return,length,epsilon,learning_rate,val_return
1,-428.2353368296786,84,0.995,0.001,
2,-368.726474426584,116,0.990025,0.001,
3,-308.40293414845763,79,0.985074875,0.001,
4,-185.01277001907903,117,0.9801495006250001,0.001,
5,-343.4420420789479,68,0.9752487531218751,0.001,
6,-314.95958565182855,92,0.9703725093562657,0.001,
7,-298.80548722694505,87,0.9655206468094844,0.001,
8,-268.8059385590567,78,0.960693043575437,0.001,
9,-241.39791162179677,103,0.9558895783575597,0.001,
10,-250.87546650521253,111,0.9511101304657719,0.001,-364.6524637615796
11,-146.06967150243813,75,0.946354579813443,0.001,
12,-209.5534618495872,72,0.9416228069143757,0.001,
13,-482.17696515270825,93,0.9369146928798039,0.001,
14,-303.0126365463092,103,0.9322301194154049,0.001,
15,-299.9459507240017,141,0.9275689688183278,0.001,
16,-410.25522915318754,98,0.9229311239742362,0.001,
17,-217.69518268367196,103,0.918316468354365,0.001,
18,-360.14661506266896,108,0.9137248860125932,0.001,
19,-487.4457976043956,99,0.9091562615825302,0.001,
20,-375.31609407344234,66,0.9046104802746175,0.001,-386.6667832555539
21,-158.75288290924496,84,0.9000874278732445,0.001,
22,-241.0100602346376,92,0.8955869907338783,0.001,
23,-283.3382280326136,89,0.8911090557802088,0.001,
24,-236.82894793961847,88,0.8866535105013078,0.001,
25,-366.6658121740147,109,0.8822202429488013,0.001,
26,-339.79461752191395,112,0.8778091417340573,0.001,
27,-192.524808988156,112,0.8734200960253871,0.001,
28,-439.21966948796614,114,0.8690529955452602,0.001,
29,-273.823001863072,103,0.8647077305675338,0.001,
30,-257.4534723290028,114,0.8603841919146962,0.001,-309.24435780921635
31,-261.1469513081446,125,0.8560822709551227,0.001,
32,-223.48688076664286,83,0.851801859600347,0.001,
33,-300.3859111972205,102,0.8475428503023453,0.001,
34,-186.88806602380544,62,0.8433051360508336,0.001,
35,-183.76090387248956,90,0.8390886103705794,0.001,
36,-366.6467209701807,120,0.8348931673187264,0.001,
37,-178.2465498430694,76,0.8307187014821328,0.001,
38,-201.15664973307292,116,0.8265651079747222,0.001,
39,-229.13017095740702,77,0.8224322824348486,0.001,
40,-193.48062988400252,80,0.8183201210226743,0.001,-239.09717358643948
41,-200.06512929293322,84,0.8142285204175609,0.001,
42,-208.33297275558397,81,0.810157377815473,0.001,
43,-208.80091274458925,63,0.8061065909263957,0.001,
44,-216.97892002001453,102,0.8020760579717637,0.001,
45,-219.9754067985034,78,0.798065677681905,0.001,
46,-172.20470016397192,123,0.7940753492934954,0.001,
47,-173.34763282430472,94,0.7901049725470279,0.001,
48,-342.7544395252023,163,0.7861544476842928,0.001,
49,-200.10574816631208,133,0.7822236754458713,0.001,
50,-177.40281535190243,137,0.778312557068642,0.001,-349.017931461003
51,-201.58223995351423,95,0.7744209942832988,0.001,
52,-220.52376545256266,69,0.7705488893118823,0.001,
53,-169.49016765962995,78,0.7666961448653229,0.001,
54,-123.76186596529263,70,0.7628626641409962,0.001,
55,-185.04790276684642,77,0.7590483508202912,0.001,
56,-175.39382304811082,77,0.7552531090661897,0.001,
57,-218.04704951076423,109,0.7514768435208588,0.001,
58,-241.14003513825406,90,0.7477194593032545,0.001,
59,-160.5367811443404,127,0.7439808620067382,0.001,
60,-170.88368670339642,102,0.7402609576967045,0.001,-255.3475258700052
61,-165.28290905440485,151,0.736559652908221,0.001,
62,-278.5416008380565,103,0.7328768546436799,0.001,
63,-242.86185783202882,104,0.7292124703704616,0.001,
64,-145.07652262289406,105,0.7255664080186093,0.001,
