episode,return,length,epsilon,learning_rate,val_return
1,-139.24576660454477,133,,0.001,
2,-480.0218502126933,110,,0.001,
3,-293.8222663698154,72,,0.001,
4,-539.8888835485825,127,,0.001,
5,-277.3919609432105,79,,0.001,
6,-218.31060710082522,61,,0.001,
7,-222.4174700506962,90,,0.001,
8,-157.18011166600462,73,,0.001,
9,-302.1427975816716,87,,0.001,
10,-376.5861517746397,148,,0.001,-286.1923507182995
11,-226.95185908180514,73,,0.001,
12,-455.89926490743835,76,,0.001,
13,-200.216939083725,73,,0.001,
14,-275.8573228753602,68,,0.001,
15,-454.0894974858529,88,,0.001,
16,-556.956478790763,100,,0.001,
17,-356.29861092287126,91,,0.001,
18,-227.20660746901035,71,,0.001,
19,-150.4091888551182,115,,0.001,
20,-664.6185776144636,93,,0.001,-424.93067413488507
21,-345.35181297582255,65,,0.001,
22,-374.40561963236826,56,,0.001,
23,-479.78674727052703,63,,0.001,
24,-277.61840287471847,72,,0.001,
25,-639.8618877791597,88,,0.001,
26,-531.369254242186,91,,0.001,
27,-595.5333567785871,83,,0.001,
28,-345.65985676725654,59,,0.001,
29,-624.5532247097158,76,,0.001,
30,-593.4772839460968,87,,0.001,-525.097411947843
31,-390.002548148488,67,,0.001,
32,-516.5710397783591,57,,0.001,
33,-660.975848486058,71,,0.001,
34,-581.1523769923697,85,,0.001,
35,-608.9835004548203,67,,0.001,
36,-419.1278705180915,56,,0.001,
37,-671.9487014703753,97,,0.001,
38,-528.3235554267071,73,,0.001,
39,-594.400287405038,74,,0.001,
40,-685.092210251251,72,,0.001,-522.1416274660633
41,-831.0771334365242,89,,0.001,
42,-839.33079590922,82,,0.001,
43,-470.9372835628583,55,,0.001,
44,-423.36183405353574,58,,0.001,
45,-321.2087605920668,56,,0.001,
46,-804.1205983643608,87,,0.001,
47,-707.3299489256783,84,,0.001,
48,-669.4556907761569,74,,0.001,
49,-595.2091402825843,92,,0.001,
50,-507.58443934181685,67,,0.001,-500.8120217271956
51,-840.4074075205581,89,,0.001,
52,-761.1159638402098,84,,0.001,
53,-495.86069415170016,65,,0.001,
54,-459.94605296779685,54,,0.001,
55,-571.4312376011798,79,,0.001,
56,-506.34295999929327,59,,0.001,
57,-480.79897550134814,63,,0.001,
58,-562.7909191300416,65,,0.001,
59,-573.5822780021776,84,,0.001,
60,-624.9750402786126,68,,0.001,-479.07394498054634
61,-441.5336246583963,68,,0.001,
62,-392.7348404252112,52,,0.001,
63,-529.0532134577861,80,,0.001,
64,-508.36670962983794,67,,0.001,
65,-403.9311288192956,61,,0.001,
66,-668.4997368487477,85,,0.001,
67,-465.4134179938276,60,,0.001,
68,-705.3939194264588,77,,0.001,
69,-668.1834209234856,89,,0.001,
70,-477.5319290002286,66,,0.001,-477.3972125415654
71,-453.6267817290001,58,,0.001,
72,-500.2876785186011,62,,0.001,
73,-441.298616326411,70,,0.001,
74,-598.3754068236834,71,,0.001,
75,-444.8002011022579,68,,0.001,
76,-536.1744350228175,73,,0.001,
77,-328.76360359713124,57,,0.001,
78,-482.9736561139224,60,,0.001,
79,-427.9337645994867,70,,0.001,
80,-628.1242500903088,77,,0.001,-467.6567577590543
81,-346.0457840810618,57,,0.001,
82,-512.8189397912864,72,,0.001,
83,-498.7570334577943,65,,0.001,
84,-447.6917274366458,57,,0.001,
85,-605.3393427787818,73,,0.001,
86,-766.2513360349785,88,,0.001,
87,-597.3716887167576,72,,0.001,
88,-399.7863284104953,57,,0.001,
89,-508.32986802418765,60,,0.001,
90,-421.8265331813641,56,,0.001,-480.85951092532724
91,-392.7190737809659,55,,0.001,
92,-414.49845884839795,62,,0.001,
93,-574.8547899408807,74,,0.001,
94,-626.2764660896593,73,,0.001,
95,-574.0715554333532,76,,0.001,
96,-496.87033472373514,61,,0.001,
97,-600.8542557334813,88,,0.001,
98,-589.4472547889445,86,,0.001,
99,-426.8164292450245,53,,0.001,
100,-595.2491170047376,72,,0.001,-478.8014703085388
101,-408.3572702447966,54,,0.001,
102,-547.9554578088389,74,,0.001,
103,-592.7967346702087,81,,0.001,
104,-313.69228124557293,56,,0.001,
105,-648.9412187574137,82,,0.001,
106,-502.120172167328,65,,0.001,
107,-531.1564770332318,75,,0.001,
108,-421.16760127106335,64,,0.001,
109,-466.2339156941971,68,,0.001,
110,-339.27832749096655,54,,0.001,-489.4647223183835
111,-559.3748879853383,66,,0.001,
112,-672.2461662532253,77,,0.001,
113,-621.7863221191047,78,,0.001,
114,-554.4838296400825,71,,0.001,
115,-614.6662909071715,82,,0.001,
116,-385.51741805592013,56,,0.001,
117,-440.9150382804225,72,,0.001,
118,-631.8241398172744,81,,0.001,
119,-406.16806603922805,56,,0.001,
120,-339.74383671323073,54,,0.001,-469.2662758731725
121,-371.04388302917107,51,,0.001,
122,-464.4500571734185,68,,0.001,
123,-555.671103732047,67,,0.001,
124,-526.92589949186,64,,0.001,
125,-412.4541445707846,54,,0.001,
126,-638.8961866300258,76,,0.001,
127,-504.132987898072,64,,0.001,
128,-732.9621454041405,82,,0.001,
129,-299.96287164613267,52,,0.001,
130,-540.0428014906433,75,,0.001,-464.7653108659488
131,-491.81944576789436,59,,0.001,
132,-338.698245892371,53,,0.001,
133,-473.6490571032799,81,,0.001,
134,-499.604577735822,60,,0.001,
135,-625.6290452781093,78,,0.001,
136,-544.7930136315827,62,,0.001,
137,-524.7066436077488,80,,0.001,
138,-709.9478872851728,89,,0.001,
139,-531.0796013193618,61,,0.001,
140,-630.6581773896097,80,,0.001,-464.8495391550462
141,-670.1524663849459,80,,0.001,
142,-532.0010219352115,68,,0.001,
143,-560.5217574668407,70,,0.001,
144,-504.6765507094283,67,,0.001,
145,-384.669345996223,49,,0.001,
146,-467.04452516211444,61,,0.001,
147,-529.9205613575792,67,,0.001,
148,-567.034770696662,70,,0.001,
149,-485.44094053856713,73,,0.001,
150,-581.8759224282804,86,,0.001,-492.7137188577978
151,-502.82988340167424,105,,0.001,
152,-483.74628448837234,55,,0.001,
153,-474.42297540155585,53,,0.001,
154,-555.8881567575108,85,,0.001,
155,-429.08459412965743,64,,0.001,
156,-584.800451681378,63,,0.001,
157,-480.6610926934764,67,,0.001,
158,-458.99956673076133,64,,0.001,
159,-323.67445259355907,59,,0.001,
160,-617.3080965689223,69,,0.001,-484.55681850034887
161,-489.6333758618749,73,,0.001,
162,-596.8025501916618,67,,0.001,
163,-327.8629801085687,51,,0.001,
164,-672.0142085535745,81,,0.001,
165,-628.6704182385832,74,,0.001,
166,-592.971211595193,87,,0.001,
167,-539.5681427116709,68,,0.001,
168,-708.835005443005,83,,0.001,
169,-443.66511425999016,55,,0.001,
170,-476.58444318608423,60,,0.001,-474.55521292867144
