episode,return,length,epsilon,learning_rate,val_return
1,-206.76184077711642,73,,0.001,
2,-340.78079359557177,148,,0.001,
3,-284.38680184570205,124,,0.001,
4,-319.81866477810416,126,,0.001,
5,-562.8795309427427,120,,0.001,
6,-405.614472817244,95,,0.001,
7,-267.0504751248736,122,,0.001,
8,-194.44019371574194,75,,0.001,
9,-318.0518326610455,110,,0.001,
10,-347.120414020292,96,,0.001,-270.6572092541759
11,-320.01626514667595,97,,0.001,
12,-349.3431399488592,108,,0.001,
13,-335.2656757571441,83,,0.001,
14,-188.37984129681112,92,,0.001,
15,-336.2946128790815,76,,0.001,
16,-456.08104251246067,105,,0.001,
17,-213.9890154210877,72,,0.001,
18,-342.4871993585641,57,,0.001,
19,-320.2837219749044,115,,0.001,
20,-482.5130900210993,112,,0.001,-357.8308714883202
21,-449.77665417980575,80,,0.001,
22,-486.12874931552784,85,,0.001,
23,-280.13568134656657,84,,0.001,
24,-218.31672870818522,63,,0.001,
25,-252.02877103255545,73,,0.001,
26,-344.93871365585005,88,,0.001,
27,-519.1719450254216,75,,0.001,
28,-472.66815824779303,70,,0.001,
29,-635.5875916745053,86,,0.001,
30,-306.04882856835013,76,,0.001,-441.72922776373343
31,-481.92965838880536,88,,0.001,
32,-664.402977233616,86,,0.001,
33,-521.3769668869182,79,,0.001,
34,-700.1295433538727,91,,0.001,
35,-535.7702366067817,82,,0.001,
36,-559.5837151752852,83,,0.001,
37,-326.10369871774157,57,,0.001,
38,-594.0488775690316,90,,0.001,
39,-595.3756359873925,71,,0.001,
40,-580.9810480841172,73,,0.001,-513.9377920656704
41,-555.9633502500732,67,,0.001,
42,-515.5706646166818,65,,0.001,
43,-565.025937691301,66,,0.001,
44,-843.5417274060942,83,,0.001,
45,-643.165042625305,69,,0.001,
46,-756.7231179153348,85,,0.001,
47,-371.7151432038105,56,,0.001,
48,-658.110566770932,78,,0.001,
49,-534.6463576119177,61,,0.001,
50,-843.4008358601413,95,,0.001,-519.5352702208633
51,-738.5772493686693,96,,0.001,
52,-660.506960232348,71,,0.001,
53,-652.3569431301946,70,,0.001,
54,-449.895096303291,51,,0.001,
55,-778.0982007080661,82,,0.001,
56,-638.1683784253055,67,,0.001,
57,-309.7776819626554,54,,0.001,
58,-584.9131687089297,69,,0.001,
59,-544.5147516361392,60,,0.001,
60,-686.2835157395289,70,,0.001,-512.0777024264833
61,-541.4949078269112,67,,0.001,
62,-401.8728281572035,52,,0.001,
63,-593.8781618970913,82,,0.001,
64,-331.49123102864206,55,,0.001,
65,-446.1652617928959,65,,0.001,
