episode,return,length,epsilon,learning_rate,val_return
1,-169.49999999999997,1000,0.995,,
2,-169.29999999999976,1000,0.990025,,
3,-169.94999999999996,1000,0.985074875,,
4,-169.74999999999994,1000,0.9801495006250001,,
5,-164.95000000000002,1000,0.9752487531218751,,
6,-165.25,1000,0.9703725093562657,,
7,-162.95000000000005,1000,0.9655206468094844,,
8,-163.90000000000032,1000,0.960693043575437,,
9,-159.95000000000007,1000,0.9558895783575597,,
10,-150.30000000000007,1000,0.9511101304657719,,39.684999999999334
11,-150.75000000000006,1000,0.946354579813443,,
12,-160.60000000000022,1000,0.9416228069143757,,
13,-153.1000000000002,1000,0.9369146928798039,,
14,-147.94999999999968,1000,0.9322301194154049,,
15,-147.6999999999999,1000,0.9275689688183278,,
16,-153.95000000000002,1000,0.9229311239742362,,
17,-151.9999999999994,1000,0.918316468354365,,
18,-146.70000000000013,1000,0.9137248860125932,,
19,-146.60000000000005,1000,0.9091562615825302,,
20,-142.74999999999991,1000,0.9046104802746175,,9.929999999999744
21,-148.09999999999997,1000,0.9000874278732445,,
22,-145.80000000000007,1000,0.8955869907338783,,
23,-134.5000000000002,1000,0.8911090557802088,,
24,-133.69999999999973,1000,0.8866535105013078,,
25,-131.59999999999943,1000,0.8822202429488013,,
26,-141.3499999999999,1000,0.8778091417340573,,
27,-133.04999999999953,1000,0.8734200960253871,,
28,-142.4500000000001,1000,0.8690529955452602,,
29,-141.94999999999987,1000,0.8647077305675338,,
30,-135.44999999999985,1000,0.8603841919146962,,39.70499999999934
31,-137.79999999999993,1000,0.8560822709551227,,
32,-128.5999999999995,1000,0.851801859600347,,
33,-140.39999999999986,1000,0.8475428503023453,,
34,-141.74999999999997,1000,0.8433051360508336,,
35,-130.34999999999977,1000,0.8390886103705794,,
36,-129.74999999999955,1000,0.8348931673187264,,
37,-131.24999999999952,1000,0.8307187014821328,,
38,-130.19999999999953,1000,0.8265651079747222,,
39,-129.39999999999952,1000,0.8224322824348486,,
40,-123.09999999999961,1000,0.8183201210226743,,39.70499999999934
41,-127.0499999999995,1000,0.8142285204175609,,
42,-126.7999999999995,1000,0.810157377815473,,
43,-124.29999999999949,1000,0.8061065909263957,,
44,-119.69999999999965,1000,0.8020760579717637,,
45,-118.24999999999969,1000,0.798065677681905,,
46,-124.49999999999949,1000,0.7940753492934954,,
47,-123.84999999999948,1000,0.7901049725470279,,
48,-127.1499999999997,1000,0.7861544476842928,,
49,-120.74999999999967,1000,0.7822236754458713,,
50,-120.04999999999943,1000,0.778312557068642,,39.70499999999934
51,-121.39999999999948,1000,0.7744209942832988,,
52,-112.34999999999947,1000,0.7705488893118823,,
53,-119.44999999999963,1000,0.7666961448653229,,
54,-110.34999999999967,1000,0.7628626641409962,,
55,-108.79999999999974,1000,0.7590483508202912,,
56,-111.19999999999945,1000,0.7552531090661897,,
57,-109.84999999999958,1000,0.7514768435208588,,
58,-113.9999999999996,1000,0.7477194593032545,,
59,-115.39999999999989,1000,0.7439808620067382,,
60,-112.09999999999958,1000,0.7402609576967045,,39.65499999999933
61,-116.74999999999932,1000,0.736559652908221,,
62,-111.0499999999996,1000,0.7328768546436799,,
63,-111.84999999999961,1000,0.7292124703704616,,
64,-113.14999999999961,1000,0.7255664080186093,,
65,-115.24999999999949,1000,0.7219385759785162,,
66,-111.19999999999946,1000,0.7183288830986236,,
67,-106.69999999999953,1000,0.7147372386831305,,
68,-110.99999999999959,1000,0.7111635524897149,,
69,-105.64999999999948,1000,0.7076077347272662,,
70,-104.24999999999952,1000,0.7040696960536299,,39.64999999999934
71,-114.64999999999947,1000,0.7005493475733617,,
72,-100.59999999999947,1000,0.697046600835495,,
73,-103.4499999999996,1000,0.6935613678313175,,
74,-110.94999999999963,1000,0.6900935609921609,,
75,-110.49999999999964,1000,0.6866430931872001,,
76,-95.09999999999957,1000,0.6832098777212641,,
77,-98.19999999999986,1000,0.6797938283326578,,
78,-105.3999999999996,1000,0.6763948591909945,,
79,-104.39999999999958,1000,0.6730128848950395,,
80,-99.54999999999974,1000,0.6696478204705644,,39.659999999999336
81,-101.34999999999938,1000,0.6662995813682115,,
82,-107.9999999999996,1000,0.6629680834613705,,
83,-96.2499999999998,1000,0.6596532430440636,,
84,-95.1999999999999,1000,0.6563549768288433,,
85,-92.94999999999958,1000,0.653073201944699,,
86,-90.19999999999966,1000,0.6498078359349755,,
87,-93.64999999999968,1000,0.6465587967553006,,
88,-94.89999999999972,1000,0.6433260027715241,,
89,-98.54999999999951,1000,0.6401093727576664,,
90,-92.39999999999965,1000,0.6369088258938781,,39.61999999999934
91,-94.59999999999938,1000,0.6337242817644086,,
92,-94.14999999999971,1000,0.6305556603555866,,
93,-92.4999999999994,1000,0.6274028820538087,,
